"",BBFN1.M.DE.N.1.L.MT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Malta,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:39,
1995-01,0.067,
1995-02,0.067,
1995-03,0.065,
1995-04,0.065,
1995-05,0.066,
1995-06,0.067,
1995-07,0.065,
1995-08,0.067,
1995-09,0.067,
1995-10,0.067,
1995-11,0.065,
1995-12,0.064,
1996-01,0.065,
1996-02,0.066,
1996-03,0.067,
1996-04,0.067,
1996-05,0.072,
1996-06,0.067,
1996-07,0.067,
1996-08,0.067,
1996-09,0.067,
1996-10,0.067,
1996-11,0.067,
1996-12,0.067,
1997-01,0.067,
1997-02,0.068,
1997-03,0.069,
1997-04,0.070,
1997-05,0.069,
1997-06,0.067,
1997-07,0.068,
1997-08,0.069,
1997-09,0.072,
1997-10,0.069,
1997-11,0.069,
1997-12,0.069,
1998-01,0.069,
1998-02,0.063,
1998-03,0.062,
1998-04,0.063,
1998-05,0.073,
1998-06,0.063,
1998-07,0.063,
1998-08,0.064,
1998-09,0.064,
1998-10,0.064,
1998-11,0.064,
1998-12,0.063,
1999-01,0.066,
1999-02,0.067,
1999-03,0.067,
1999-04,0.066,
1999-05,0.063,
1999-06,0.062,
1999-07,0.062,
1999-08,0.062,
1999-09,0.066,
1999-10,0.066,
1999-11,0.064,
1999-12,0.063,
2000-01,0.067,
2000-02,0.066,
2000-03,0.070,
2000-04,0.076,
2000-05,0.065,
2000-06,0.067,
2000-07,0.064,
2000-08,0.065,
2000-09,0.071,
2000-10,0.071,
2000-11,0.071,
2000-12,0.074,
2001-01,0.074,
2001-02,0.075,
2001-03,0.078,
2001-04,0.075,
2001-05,0.076,
2001-06,0.075,
2001-07,0.073,
2001-08,0.074,
2001-09,0.075,
2001-10,0.075,
2001-11,0.077,
2001-12,0.049,
2002-01,0.053,
2002-02,0.053,
2002-03,0.007,
2002-04,0.009,
2002-05,0.010,
2002-06,0.009,
2002-07,0.009,
2002-08,0.039,
2002-09,0.035,
2002-10,0.035,
2002-11,0.035,
2002-12,0.037,
2003-01,0.032,
2003-02,0.031,
2003-03,0.024,
2003-04,0.028,
2003-05,0.053,
2003-06,0.048,
2003-07,0.046,
2003-08,0.047,
2003-09,0.041,
2003-10,0.043,
2003-11,0.046,
2003-12,0.049,
2004-01,0.050,
2004-02,0.049,
2004-03,0.049,
2004-04,0.044,
2004-05,0.050,
2004-06,0.044,
2004-07,0.048,
2004-08,0.049,
2004-09,0.052,
2004-10,0.043,
2004-11,0.046,
2004-12,0.047,
2005-01,0.046,
2005-02,0.007,
2005-03,0.052,
2005-04,0.052,
2005-05,0.054,
2005-06,0.057,
2005-07,0.066,
2005-08,0.056,
2005-09,0.063,
2005-10,0.066,
2005-11,0.084,
2005-12,0.075,
2006-01,0.073,
2006-02,0.077,
2006-03,0.017,
2006-04,0.018,
2006-05,0.229,
2006-06,0.242,
2006-07,0.351,
2006-08,0.434,
2006-09,1.268,
2006-10,1.024,
2006-11,1.046,
2006-12,1.049,
2007-01,1.036,
2007-02,1.089,
2007-03,1.080,
2007-04,1.752,
2007-05,2.745,
2007-06,2.756,
2007-07,2.110,
2007-08,2.228,
2007-09,2.228,
2007-10,2.251,
2007-11,1.812,
2007-12,1.805,
2008-01,2.349,
2008-02,2.169,
2008-03,1.812,
2008-04,2.235,
2008-05,2.434,
2008-06,2.365,
2008-07,3.183,
2008-08,3.281,
2008-09,2.800,
2008-10,2.517,
2008-11,2.324,
2008-12,3.461,
2009-01,3.162,
2009-02,3.435,
2009-03,3.069,
2009-04,1.980,
2009-05,2.002,
2009-06,1.661,
2009-07,1.764,
2009-08,1.735,
2009-09,1.753,
2009-10,1.831,
2009-11,1.837,
2009-12,2.006,
2010-01,2.013,
2010-02,1.991,
2010-03,2.511,
2010-04,2.545,
2010-05,2.560,
2010-06,2.434,
2010-07,2.590,
2010-08,2.626,
2010-09,2.570,
2010-10,2.557,
2010-11,2.613,
2010-12,3.106,
2011-01,2.749,
2011-02,2.588,
2011-03,2.404,
2011-04,2.600,
2011-05,2.491,
2011-06,7.398,
2011-07,8.393,
2011-08,8.381,
2011-09,8.379,
2011-10,3.222,
2011-11,3.191,
2011-12,3.241,
2012-01,3.156,
2012-02,3.193,
2012-03,3.407,
2012-04,3.170,
2012-05,3.135,
2012-06,3.403,
2012-07,3.938,
2012-08,2.756,
2012-09,2.657,
2012-10,2.629,
2012-11,6.319,
2012-12,6.437,
2013-01,6.309,
2013-02,6.939,
2013-03,6.925,
2013-04,6.067,
2013-05,6.231,
2013-06,6.123,
2013-07,6.138,
2013-08,3.144,
2013-09,2.282,
2013-10,2.242,
2013-11,1.788,
2013-12,2.246,
2014-01,2.144,
2014-02,2.239,
2014-03,1.751,
2014-04,1.799,
2014-05,2.024,
2014-06,2.157,
2014-07,2.187,
2014-08,2.072,
2014-09,2.564,
2014-10,2.456,
2014-11,3.237,
2014-12,2.785,
