"",BBEX3.M.CYP.EUR.BB.AC.A02,BBEX3.M.CYP.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = CYP ... / Cyprus / up to December 2007,
unit,CYP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:23,
1999-01,0.58174,
1999-02,0.58057,
1999-03,0.57959,
1999-04,0.57924,
1999-05,0.57877,
1999-06,0.57792,
1999-07,0.57778,
1999-08,0.57871,
1999-09,0.57830,
1999-10,0.57903,
1999-11,0.57782,
1999-12,0.57699,
2000-01,0.57721,
2000-02,0.57592,
2000-03,0.57521,
2000-04,0.57452,
2000-05,0.57288,
2000-06,0.57456,
2000-07,0.57428,
2000-08,0.57271,
2000-09,0.57241,
2000-10,0.57241,
2000-11,0.57241,
2000-12,0.57270,
2001-01,0.57754,
2001-02,0.57935,
2001-03,0.57892,
2001-04,0.57859,
2001-05,0.57771,
2001-06,0.57516,
2001-07,0.57403,
2001-08,0.57364,
2001-09,0.57326,
2001-10,0.57429,
2001-11,0.57376,
2001-12,0.57486,
2002-01,0.57604,
2002-02,0.57617,
2002-03,0.57510,
2002-04,0.57613,
2002-05,0.57853,
2002-06,0.58007,
2002-07,0.57720,
2002-08,0.57363,
2002-09,0.57338,
2002-10,0.57250,
2002-11,0.57200,
2002-12,0.57298,
2003-01,0.57691,
2003-02,0.58038,
2003-03,0.58292,
2003-04,0.58657,
2003-05,0.58694,
2003-06,0.58607,
2003-07,0.58730,
2003-08,0.58616,
2003-09,0.58370,
2003-10,0.58418,
2003-11,0.58328,
2003-12,0.58459,
2004-01,0.58647,
2004-02,0.58601,
2004-03,0.58598,
2004-04,0.58630,
2004-05,0.58589,
2004-06,0.58239,
2004-07,0.58171,
2004-08,0.57838,
2004-09,0.57696,
2004-10,0.57595,
2004-11,0.57789,
2004-12,0.57909,
2005-01,0.58170,
2005-02,0.58315,
2005-03,0.58319,
2005-04,0.58282,
2005-05,0.57806,
2005-06,0.57405,
2005-07,0.57367,
2005-08,0.57321,
2005-09,0.57296,
2005-10,0.57319,
2005-11,0.57351,
2005-12,0.57346,
2006-01,0.57376,
2006-02,0.57436,
2006-03,0.57530,
2006-04,0.57613,
2006-05,0.57510,
2006-06,0.57504,
2006-07,0.57500,
2006-08,0.57585,
2006-09,0.57650,
2006-10,0.57672,
2006-11,0.57770,
2006-12,0.57811,
2007-01,0.57842,
2007-02,0.57918,
2007-03,0.57985,
2007-04,0.58148,
2007-05,0.58303,
2007-06,0.58352,
2007-07,0.58412,
2007-08,0.58420,
2007-09,0.58420,
2007-10,0.58420,
2007-11,0.58420,
2007-12,0.58511,
"","General: The ECB published daily euro foreign exchange reference rates for Cyprus pounds (CYP), which were calculated on the basis of the concertation between central banks at 14.15. Cyprus joined the euro area on 1 January 2008; irrevocable euro conversion rate: EUR 1 = CYP 0.585274.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
