"",BBFB1.Q.N.DE.FR.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:17,
1991-01,1324.676,
1991-04,1925.605,
1991-07,2115.332,
1991-10,1370.914,
1992-01,1444.918,
1992-04,2109.763,
1992-07,2302.810,
1992-10,1630.934,
1993-01,1527.709,
1993-04,2235.209,
1993-07,2388.631,
1993-10,1596.337,
1994-01,1538.832,
1994-04,2210.991,
1994-07,2331.351,
1994-10,1586.185,
1995-01,1705.149,
1995-04,2185.667,
1995-07,2384.922,
1995-10,1651.841,
1996-01,1716.398,
1996-04,2320.423,
1996-07,2527.130,
1996-10,1801.148,
1997-01,1723.484,
1997-04,2409.232,
1997-07,2666.857,
1997-10,1963.497,
1998-01,1919.521,
1998-04,2575.011,
1998-07,2842.445,
1998-10,2100.362,
1999-01,1853.241,
1999-04,2659.092,
1999-07,2918.504,
1999-10,2257.132,
2000-01,2134.198,
2000-04,2867.425,
2000-07,3120.870,
2000-10,2410.924,
2001-01,2719.586,
2001-04,3172.472,
2001-07,3415.836,
2001-10,2566.879,
2002-01,2366.172,
2002-04,2972.846,
2002-07,3365.375,
2002-10,2846.916,
2003-01,2442.968,
2003-04,2953.710,
2003-07,3537.965,
2003-10,2624.641,
2004-01,2732.309,
2004-04,3132.176,
2004-07,3397.238,
2004-10,2721.616,
2005-01,2487.899,
2005-04,2720.675,
2005-07,3320.695,
2005-10,2682.357,
2006-01,2452.603,
2006-04,2879.886,
2006-07,3501.353,
2006-10,2808.249,
2007-01,3127.880,
2007-04,2902.045,
2007-07,3857.943,
2007-10,2898.047,
2008-01,2779.238,
2008-04,3096.617,
2008-07,3808.411,
2008-10,3061.448,
2009-01,3072.063,
2009-04,3209.175,
2009-07,3676.801,
2009-10,3272.898,
2010-01,3157.663,
2010-04,3496.636,
2010-07,3938.523,
2010-10,3490.502,
2011-01,3233.546,
2011-04,3546.798,
2011-07,4039.146,
2011-10,3359.793,
2012-01,3445.570,
2012-04,3633.627,
2012-07,4268.179,
2012-10,3677.591,
2013-01,3670.877,
2013-04,4007.264,
2013-07,4541.950,
2013-10,4326.294,
2014-01,3484.971,Provisional value
2014-04,4009.565,Provisional value
2014-07,4537.837,Provisional value
