"",BBNZ1.Q.DE.S.G.0001.A,BBNZ1.Q.DE.S.G.0001.A_FLAGS
"",Germany / National accounts / Overall economy / Gross national income / At current prices / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:04,
1991-01,389.964,
1991-04,398.467,
1991-07,400.543,
1991-10,407.515,
1992-01,423.720,
1992-04,424.426,
1992-07,430.868,
1992-10,432.338,
1993-01,432.371,
1993-04,439.242,
1993-07,443.540,
1993-10,444.748,
1994-01,452.642,
1994-04,454.227,
1994-07,459.379,
1994-10,464.490,
1995-01,468.711,
1995-04,473.376,
1995-07,475.391,
1995-10,476.785,
1996-01,475.891,
1996-04,478.304,
1996-07,482.082,
1996-10,486.459,
1997-01,477.971,
1997-04,491.859,
1997-07,492.757,
1997-10,496.082,
1998-01,497.635,
1998-04,496.528,
1998-07,502.069,
1998-10,505.313,
1999-01,503.830,
1999-04,508.702,
1999-07,512.798,
1999-10,519.083,
2000-01,526.144,
2000-04,524.198,
2000-07,521.822,
2000-10,526.885,
2001-01,537.592,
2001-04,537.664,
2001-07,538.032,
2001-10,544.690,
2002-01,539.225,
2002-04,543.775,
2002-07,549.995,
2002-10,547.221,
2003-01,544.666,
2003-04,544.707,
2003-07,554.326,
2003-10,554.794,
2004-01,565.767,
2004-04,571.235,
2004-07,572.244,
2004-10,575.466,
2005-01,568.065,
2005-04,583.991,
2005-07,582.975,
2005-10,585.701,
2006-01,597.100,
2006-04,606.311,
2006-07,611.136,
2006-10,620.578,
2007-01,632.770,
2007-04,634.147,
2007-07,640.245,
2007-10,644.705,
2008-01,646.616,
2008-04,654.972,
2008-07,650.057,
2008-10,637.716,
2009-01,619.297,
2009-04,620.039,
2009-07,634.140,
2009-10,642.293,
2010-01,640.225,
2010-04,653.685,
2010-07,662.460,
2010-10,674.028,
2011-01,685.078,
2011-04,688.570,
2011-07,696.871,
2011-10,698.030,
2012-01,705.390,
2012-04,701.506,
2012-07,707.030,
2012-10,708.282,
2013-01,707.009,
2013-04,722.089,
2013-07,723.614,
2013-10,729.151,
2014-01,737.035,
2014-04,739.133,
2014-07,746.276,
2014-10,749.745,
