"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:45,
1999-10,141195,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,173077,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,188650,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,178061,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,188939,
2004-01,195977,
2004-04,191579,
2004-07,190657,
2004-10,189453,
2005-01,194056,
2005-04,200362,
2005-07,207147,
2005-10,200497,
2006-01,216246,
2006-04,230836,
2006-07,246958,
2006-10,264902,
2007-01,281124,
2007-04,299444,
2007-07,300813,
2007-10,270622,
2008-01,297673,
2008-04,312442,
2008-07,309810,
2008-10,344157,
2009-01,344852,
2009-04,333847,
2009-07,335381,
2009-10,354800,
2010-01,345938,
2010-04,362018,
2010-07,378011,
2010-10,470003,
2011-01,452909,
2011-04,461403,
2011-07,495211,
2011-10,516254,
2012-01,508433,
2012-04,526256,
2012-07,492017,
2012-10,340751,
2013-01,345064,
2013-04,363973,
2013-07,336728,
2013-10,308797,
2014-01,308300,
2014-04,319430,
2014-07,317198,
