"",BBK01.OECI01M,BBK01.OECI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:21,
2002-01,6.639,
2002-04,6.635,
2002-07,6.628,
2002-10,7.681,
2003-01,6.852,
2003-04,6.784,
2003-07,6.710,
2003-10,7.409,
2004-01,6.584,
2004-04,6.649,
2004-07,6.761,
2004-10,8.098,
2005-01,13.503,
2005-04,13.834,
2005-07,13.683,
2005-10,14.229,
2006-01,13.714,
2006-04,13.793,
2006-07,13.799,
2006-10,14.476,
2007-01,14.469,
2007-04,14.418,
2007-07,15.062,
2007-10,16.501,
2008-01,16.083,
2008-04,15.961,
2008-07,16.735,
2008-10,18.745,
2009-01,18.294,
2009-04,18.239,
2009-07,18.492,
2009-10,18.364,
2010-01,17.570,
2010-04,17.987,
2010-07,17.926,
2010-10,18.274,
2011-01,17.790,
2011-04,17.559,
2011-07,17.834,
2011-10,19.290,
2012-01,19.279,
2012-04,19.939,
2012-07,21.422,
2012-10,21.550,
2013-01,20.804,
2013-04,20.641,
2013-07,20.557,
2013-10,20.265,
2014-01,19.826,
2014-04,19.664,
2014-07,20.326,
