"",BBK01.OEAE20L,BBK01.OEAE20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:11,
2002-01,0.945,
2002-04,0.974,
2002-07,1.020,
2002-10,0.702,
2003-01,0.648,
2003-04,0.642,
2003-07,0.727,
2003-10,0.728,
2004-01,0.762,
2004-04,0.860,
2004-07,0.856,
2004-10,0.847,
2005-01,0.931,
2005-04,0.927,
2005-07,2.004,
2005-10,2.095,
2006-01,2.168,
2006-04,2.216,
2006-07,0.975,
2006-10,0.941,
2007-01,0.989,
2007-04,0.941,
2007-07,1.044,
2007-10,0.963,
2008-01,1.019,
2008-04,1.137,
2008-07,0.955,
2008-10,0.802,
2009-01,0.808,
2009-04,0.861,
2009-07,0.994,
2009-10,0.970,
2010-01,1.075,
2010-04,0.968,
2010-07,1.090,
2010-10,0.991,
2011-01,1.020,
2011-04,1.039,
2011-07,1.032,
2011-10,1.032,
2012-01,1.007,
2012-04,0.900,
2012-07,0.926,
2012-10,0.941,
2013-01,0.999,
2013-04,0.972,
2013-07,0.943,
2013-10,1.036,
2014-01,1.005,
2014-04,0.972,
2014-07,0.943,
