"",BBK01.OEAC22M,BBK01.OEAC22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:02,
2002-01,1.211,
2002-04,1.271,
2002-07,1.257,
2002-10,0.928,
2003-01,1.076,
2003-04,0.978,
2003-07,0.832,
2003-10,0.701,
2004-01,0.814,
2004-04,0.721,
2004-07,0.646,
2004-10,0.603,
2005-01,0.638,
2005-04,0.691,
2005-07,0.699,
2005-10,0.770,
2006-01,0.728,
2006-04,0.752,
2006-07,0.730,
2006-10,0.777,
2007-01,0.921,
2007-04,0.951,
2007-07,0.835,
2007-10,0.991,
2008-01,1.037,
2008-04,0.898,
2008-07,0.830,
2008-10,1.029,
2009-01,1.038,
2009-04,1.105,
2009-07,1.117,
2009-10,1.133,
2010-01,1.526,
2010-04,1.282,
2010-07,1.344,
2010-10,1.030,
2011-01,1.078,
2011-04,1.068,
2011-07,1.063,
2011-10,0.978,
2012-01,0.973,
2012-04,0.964,
2012-07,0.921,
2012-10,0.816,
2013-01,0.797,
2013-04,0.784,
2013-07,0.750,
2013-10,0.693,
2014-01,0.786,
2014-04,0.925,
2014-07,1.078,
