"",BBK01.OEBO03O,BBK01.OEBO03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:31,
2002-01,-0.484,
2002-04,-0.319,
2002-07,-0.596,
2002-10,-0.541,
2003-01,-0.531,
2003-04,-0.973,
2003-07,-0.778,
2003-10,-0.735,
2004-01,-0.774,
2004-04,-0.832,
2004-07,-0.721,
2004-10,-0.813,
2005-01,0.601,
2005-04,0.540,
2005-07,0.558,
2005-10,0.574,
2006-01,0.723,
2006-04,0.623,
2006-07,0.603,
2006-10,0.635,
2007-01,0.769,
2007-04,0.578,
2007-07,0.606,
2007-10,0.657,
2008-01,0.710,
2008-04,0.657,
2008-07,0.616,
2008-10,0.808,
2009-01,0.760,
2009-04,0.616,
2009-07,0.648,
2009-10,0.834,
2010-01,0.868,
2010-04,0.574,
2010-07,0.445,
2010-10,0.564,
2011-01,0.673,
2011-04,0.598,
2011-07,0.533,
2011-10,0.582,
2012-01,0.720,
2012-04,0.506,
2012-07,0.531,
2012-10,0.559,
2013-01,0.739,
2013-04,0.484,
2013-07,0.432,
2013-10,0.364,
2014-01,0.356,
2014-04,0.291,
2014-07,0.354,
