"",BBK01.OEAD40R,BBK01.OEAD40R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:47,
2002-01,0.137,
2002-04,0.142,
2002-07,0.156,
2002-10,0.164,
2003-01,0.175,
2003-04,0.173,
2003-07,0.170,
2003-10,0.168,
2004-01,0.158,
2004-04,0.160,
2004-07,0.164,
2004-10,0.159,
2005-01,0.153,
2005-04,0.156,
2005-07,0.148,
2005-10,0.145,
2006-01,0.152,
2006-04,0.160,
2006-07,0.151,
2006-10,0.148,
2007-01,0.127,
2007-04,0.115,
2007-07,0.109,
2007-10,0.104,
2008-01,0.099,
2008-04,0.101,
2008-07,0.106,
2008-10,0.104,
2009-01,0.102,
2009-04,0.103,
2009-07,0.106,
2009-10,0.106,
2010-01,0.111,
2010-04,0.116,
2010-07,0.114,
2010-10,0.117,
2011-01,0.116,
2011-04,0.111,
2011-07,0.114,
2011-10,0.108,
2012-01,0.105,
2012-04,0.084,
2012-07,0.088,
2012-10,0.083,
2013-01,0.083,
2013-04,0.081,
2013-07,0.078,
2013-10,0.078,
2014-01,0.076,
2014-04,0.073,
2014-07,0.073,
