"",BBK01.OEAC07J,BBK01.OEAC07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:13,
2002-01,2.076,
2002-04,2.044,
2002-07,2.101,
2002-10,2.125,
2003-01,2.163,
2003-04,2.247,
2003-07,2.309,
2003-10,2.297,
2004-01,2.367,
2004-04,2.452,
2004-07,2.443,
2004-10,2.522,
2005-01,2.659,
2005-04,2.725,
2005-07,2.851,
2005-10,3.045,
2006-01,3.128,
2006-04,3.133,
2006-07,3.275,
2006-10,1.976,
2007-01,1.965,
2007-04,2.026,
2007-07,2.219,
2007-10,2.351,
2008-01,2.405,
2008-04,2.508,
2008-07,2.553,
2008-10,2.553,
2009-01,2.491,
2009-04,2.561,
2009-07,2.644,
2009-10,2.617,
2010-01,3.181,
2010-04,5.876,
2010-07,5.681,
2010-10,5.863,
2011-01,5.655,
2011-04,5.528,
2011-07,5.797,
2011-10,5.915,
2012-01,5.394,
2012-04,5.700,
2012-07,5.561,
2012-10,5.396,
2013-01,5.333,
2013-04,5.128,
2013-07,5.297,
2013-10,5.159,
2014-01,5.120,
2014-04,4.997,
2014-07,5.137,
