"",BBK01.OEAA10O,BBK01.OEAA10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:28,
2002-01,11.241,
2002-04,10.513,
2002-07,10.820,
2002-10,10.807,
2003-01,13.199,
2003-04,10.105,
2003-07,9.688,
2003-10,9.476,
2004-01,9.497,
2004-04,9.686,
2004-07,9.260,
2004-10,9.406,
2005-01,11.937,
2005-04,11.532,
2005-07,11.427,
2005-10,11.216,
2006-01,11.933,
2006-04,11.309,
2006-07,11.865,
2006-10,11.460,
2007-01,11.713,
2007-04,11.558,
2007-07,12.424,
2007-10,11.728,
2008-01,12.107,
2008-04,12.016,
2008-07,11.399,
2008-10,11.582,
2009-01,11.098,
2009-04,10.626,
2009-07,10.472,
2009-10,11.041,
2010-01,10.937,
2010-04,11.339,
2010-07,11.805,
2010-10,11.736,
2011-01,11.612,
2011-04,11.876,
2011-07,11.264,
2011-10,10.831,
2012-01,11.185,
2012-04,11.418,
2012-07,10.966,
2012-10,11.206,
2013-01,11.337,
2013-04,11.117,
2013-07,11.658,
2013-10,11.016,
2014-01,11.422,
2014-04,11.365,
2014-07,10.870,
