"",BBK01.OEAE34N,BBK01.OEAE34N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:47,
2002-01,18.077,
2002-04,18.312,
2002-07,18.508,
2002-10,18.838,
2003-01,19.025,
2003-04,19.269,
2003-07,19.496,
2003-10,19.473,
2004-01,19.704,
2004-04,20.112,
2004-07,20.350,
2004-10,20.299,
2005-01,20.636,
2005-04,20.863,
2005-07,20.727,
2005-10,20.940,
2006-01,22.296,
2006-04,22.472,
2006-07,22.732,
2006-10,22.903,
2007-01,23.056,
2007-04,23.302,
2007-07,22.660,
2007-10,22.912,
2008-01,23.271,
2008-04,23.554,
2008-07,23.663,
2008-10,23.861,
2009-01,24.108,
2009-04,24.513,
2009-07,24.399,
2009-10,24.439,
2010-01,25.046,
2010-04,25.213,
2010-07,25.460,
2010-10,25.708,
2011-01,25.885,
2011-04,26.048,
2011-07,26.202,
2011-10,26.220,
2012-01,26.280,
2012-04,16.999,
2012-07,17.030,
2012-10,17.153,
2013-01,17.179,
2013-04,17.240,
2013-07,17.385,
2013-10,17.435,
2014-01,17.451,
2014-04,17.511,
2014-07,17.642,
