"",BBFB1.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:47,
1991-01,4194.306,
1991-02,3919.012,
1991-03,4021.520,
1991-04,4291.333,
1991-05,4579.376,
1991-06,5935.562,
1991-07,4870.046,
1991-08,4333.153,
1991-09,4354.409,
1991-10,4390.937,
1991-11,4671.658,
1991-12,4813.000,
1992-01,4448.705,
1992-02,4238.645,
1992-03,4546.822,
1992-04,4423.124,
1992-05,4783.270,
1992-06,5243.994,
1992-07,4953.600,
1992-08,4607.113,
1992-09,4728.671,
1992-10,4423.268,
1992-11,4959.204,
1992-12,4533.828,
1993-01,5126.805,
1993-02,5044.056,
1993-03,5015.964,
1993-04,5194.444,
1993-05,5352.339,
1993-06,5175.577,
1993-07,5043.186,
1993-08,4982.980,
1993-09,5060.009,
1993-10,4862.648,
1993-11,5219.985,
1993-12,4878.654,
1994-01,5461.713,
1994-02,5181.601,
1994-03,5296.723,
1994-04,5162.750,
1994-05,5997.256,
1994-06,5268.122,
1994-07,5615.458,
1994-08,5368.911,
1994-09,5333.239,
1994-10,5082.201,
1994-11,6096.899,
1994-12,5947.856,
1995-01,5765.929,
1995-02,5627.883,
1995-03,5814.676,
1995-04,5473.092,
1995-05,6129.643,
1995-06,6015.960,
1995-07,6104.536,
1995-08,5928.264,
1995-09,5585.790,
1995-10,5817.157,
1995-11,6327.615,
1995-12,6117.402,
1996-01,5337.183,
1996-02,5510.631,
1996-03,5065.352,
1996-04,5627.422,
1996-05,6154.217,
1996-06,6051.649,
1996-07,7584.501,
1996-08,6030.252,
1996-09,6434.420,
1996-10,5826.830,
1996-11,6346.064,
1996-12,6241.896,
1997-01,6389.916,
1997-02,6635.722,
1997-03,6334.882,
1997-04,6398.458,
1997-05,7991.881,
1997-06,7694.012,
1997-07,7299.598,
1997-08,6543.684,
1997-09,6627.843,
1997-10,7302.814,
1997-11,7379.446,
1997-12,7615.250,
1998-01,6497.254,
1998-02,6915.395,
1998-03,7034.501,
1998-04,7324.483,
1998-05,8310.564,
1998-06,9596.655,
1998-07,8776.015,
1998-08,7414.751,
1998-09,7352.351,
1998-10,7407.447,
1998-11,7466.066,
1998-12,9568.686,
1999-01,7560.202,
1999-02,8792.548,
1999-03,7797.400,
1999-04,8140.059,
1999-05,10403.575,
1999-06,9174.002,
1999-07,8870.410,
1999-08,8699.179,
1999-09,8921.435,
1999-10,9052.379,
1999-11,9425.756,
1999-12,12003.164,
2000-01,8535.422,
2000-02,10052.176,
2000-03,9814.525,
2000-04,10908.476,
2000-05,11743.015,
2000-06,11628.017,
2000-07,11501.402,
2000-08,11728.914,
2000-09,11254.331,
2000-10,10961.863,
2000-11,11813.375,
2000-12,13377.268,
2001-01,10206.743,
2001-02,10745.866,
2001-03,10092.302,
2001-04,11127.363,
2001-05,11759.345,
2001-06,10410.941,
2001-07,10038.211,
2001-08,9780.559,
2001-09,9576.510,
2001-10,9513.203,
2001-11,9662.805,
2001-12,9930.776,
2002-01,10721.814,
2002-02,10532.374,
2002-03,10455.369,
2002-04,11216.856,
2002-05,12873.520,
2002-06,11512.886,
2002-07,11128.346,
2002-08,11047.177,
2002-09,10973.828,
2002-10,10659.688,
2002-11,10933.668,
2002-12,11130.032,
2003-01,10678.722,
2003-02,10205.212,
2003-03,9951.932,
2003-04,12342.913,
2003-05,12392.116,
2003-06,11318.622,
2003-07,10627.346,
2003-08,10582.644,
2003-09,10633.641,
2003-10,10086.765,
2003-11,10536.062,
2003-12,10984.362,
2004-01,10377.367,
2004-02,9835.273,
2004-03,9860.373,
2004-04,12133.868,
