"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Poland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:57,
2009-09,1747,
2009-10,1774,
2009-11,1810,
2009-12,1821,
2010-01,2127,
2010-02,2214,
2010-03,2368,
2010-04,2331,
2010-05,2388,
2010-06,2364,
2010-07,2455,
2010-08,2566,
2010-09,2744,
2010-10,2814,
2010-11,2645,
2010-12,2733,
2011-01,2731,
2011-02,2790,
2011-03,2775,
2011-04,2949,
2011-05,2953,
2011-06,3081,
2011-07,3084,
2011-08,3112,
2011-09,3070,
2011-10,3252,
2011-11,3145,
2011-12,3266,
2012-01,3479,
2012-02,3661,
2012-03,3750,
2012-04,3816,
2012-05,3825,
2012-06,4128,
2012-07,4272,
2012-08,4229,
2012-09,4346,
2012-10,4607,
2012-11,4793,
2012-12,4869,
2013-01,4702,
2013-02,4683,
2013-03,4758,
2013-04,4834,
2013-05,4849,
2013-06,4753,
2013-07,4866,
2013-08,4757,
2013-09,4749,
2013-10,4835,
2013-11,4799,
2013-12,4872,
2014-01,4987,
2014-02,5133,
2014-03,5135,
2014-04,5044,
2014-05,5008,
2014-06,4972,
2014-07,4949,
2014-08,4886,
2014-09,4966,
2014-10,5090,
2014-11,5143,
