"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:01,
1991-01,551.450,
1991-04,846.965,
1991-07,2100.239,
1991-10,155.660,
1992-01,-519.361,
1992-04,84.138,
1992-07,-912.868,
1992-10,1405.918,
1993-01,4948.438,
1993-04,1604.986,
1993-07,568.184,
1993-10,1244.711,
1994-01,-114.795,
1994-04,1456.975,
1994-07,-2818.839,
1994-10,-5692.654,
1995-01,-2049.558,
1995-04,-906.547,
1995-07,-26.160,
1995-10,-1178.736,
1996-01,2075.218,
1996-04,35.931,
1996-07,5116.269,
1996-10,2725.059,
1997-01,2307.523,
1997-04,1939.170,
1997-07,1045.011,
1997-10,1043.790,
1998-01,4234.957,
1998-04,1638.890,
1998-07,4008.369,
1998-10,-3156.375,
1999-01,1226.295,
1999-04,5989.837,
1999-07,16167.266,
1999-10,18732.613,
2000-01,-5553.799,
2000-04,12289.089,
2000-07,-252.354,
2000-10,-6176.957,
2001-01,-10471.437,
2001-04,-4918.839,
2001-07,2566.140,
2001-10,1455.038,
2002-01,-6844.938,
2002-04,9425.772,
2002-07,20212.649,
2002-10,3227.453,
2003-01,24017.448,
2003-04,3859.638,
2003-07,-11186.342,
2003-10,-3015.896,
2004-01,-6488.641,
2004-04,-2167.160,
2004-07,10.904,
2004-10,-5720.006,
2005-01,8807.185,
2005-04,-3212.258,
2005-07,-1151.412,
2005-10,-7343.947,
2006-01,8292.759,
2006-04,1368.574,
2006-07,-3197.225,
2006-10,-7907.879,
2007-01,10530.847,
2007-04,5204.232,
2007-07,16854.805,
2007-10,13536.851,
2008-01,16560.313,
2008-04,8459.121,
2008-07,11749.444,
2008-10,1987.785,
2009-01,14666.186,
2009-04,31059.901,
2009-07,9564.804,
2009-10,-4638.841,
2010-01,-6250.856,
2010-04,-19491.265,
2010-07,8729.985,
2010-10,7027.509,
2011-01,6419.251,
2011-04,-2265.112,
2011-07,13006.850,
2011-10,-14438.166,
2012-01,1549.004,
2012-04,7547.376,
2012-07,-14305.812,
2012-10,771.237,
2013-01,9828.782,
2013-04,3577.031,
2013-07,-5644.534,
2013-10,-30801.146,
2014-01,6824.818,
2014-04,-645.336,
2014-07,8627.229,
