"",BBK01.PQD358,BBK01.PQD358_FLAGS
"",Lending to domestic self-employed persons / Total / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:53,
1968-10,2.540,
1969-01,2.588,
1969-04,2.732,
1969-07,2.840,
1969-10,3.106,
1970-01,3.195,
1970-04,3.345,
1970-07,3.467,
1970-10,3.651,
1971-01,3.711,
1971-04,3.876,
1971-07,4.077,
1971-10,4.348,
1972-01,4.507,
1972-04,4.762,
1972-07,5.012,
1972-10,5.412,
1973-01,5.570,
1973-04,5.826,
1973-07,5.880,
1973-10,6.016,
1974-01,6.016,
1974-04,6.127,
1974-07,6.142,
1974-10,6.180,
1975-01,6.108,
1975-04,6.047,
1975-07,6.096,
1975-10,6.343,
1976-01,6.303,
1976-04,6.517,
1976-07,6.821,
1976-10,7.027,
1977-01,7.039,
1977-04,7.239,
1977-07,7.467,
1977-10,7.890,
1978-01,7.819,
1978-04,8.040,
1978-07,8.347,
1978-10,8.636,
1979-01,8.675,
1979-04,9.132,
1979-07,9.354,
1979-10,9.649,
1980-01,9.472,
1980-04,9.634,
1980-07,9.647,
1980-10,10.212,
1981-01,10.468,
1981-04,10.317,
1981-07,10.428,
1981-10,10.955,
1982-01,10.996,
1982-04,11.229,
1982-07,11.532,
1982-10,12.356,
1983-01,12.550,
1983-04,12.878,
1983-07,13.211,
1983-10,13.936,
1984-01,14.081,
1984-04,14.450,
1984-07,14.730,
1984-10,15.230,
1985-01,15.339,
1985-04,15.513,
1985-07,15.768,
1985-10,16.569,
1986-01,16.646,
1986-04,17.067,
1986-07,17.045,
1986-10,18.304,
1987-01,18.209,
1987-04,18.521,
1987-07,19.033,
1987-10,19.481,
1988-01,19.532,
1988-04,19.315,
1988-07,19.846,
1988-10,20.462,
1989-01,20.955,
1989-04,21.922,
1989-07,22.383,
1989-10,23.534,
1990-01,23.993,
1990-04,24.549,
1990-07,25.303,
1990-10,26.578,
1991-01,26.138,
1991-04,27.196,
1991-07,27.863,
1991-10,29.993,
1992-01,30.166,
1992-04,31.156,
1992-07,32.002,
1992-10,34.427,
1993-01,34.987,
1993-04,36.256,
1993-07,37.466,
1993-10,40.476,
1994-01,41.037,
1994-04,42.063,
1994-07,43.178,
1994-10,45.619,
1995-01,45.605,
1995-04,46.550,
1995-07,46.965,
1995-10,49.038,
1996-01,49.117,
1996-04,50.205,
1996-07,51.172,
1996-10,54.166,
1997-01,54.242,
1997-04,55.103,
1997-07,55.823,
1997-10,57.569,
1998-01,57.464,
1998-04,58.173,
1998-07,58.881,
1998-10,59.437,
1999-01,20.342,
1999-04,22.593,
1999-07,32.101,
1999-10,32.520,
2000-01,32.491,
2000-04,33.467,
2000-07,33.981,
2000-10,34.337,
2001-01,33.747,
2001-04,33.878,
2001-07,33.556,
2001-10,34.326,
2002-01,33.835,
2002-04,35.193,
2002-07,35.131,
2002-10,35.620,
2003-01,35.711,
2003-04,35.683,
2003-07,34.964,
2003-10,35.724,
2004-01,35.044,
2004-04,35.295,
2004-07,35.416,
2004-10,32.080,
2005-01,31.745,
2005-04,33.252,
2005-07,29.897,
2005-10,30.756,
2006-01,31.157,
2006-04,31.304,
2006-07,30.564,
2006-10,30.539,
2007-01,31.220,
2007-04,31.456,
2007-07,31.912,
2007-10,33.367,
2008-01,33.364,
2008-04,33.846,
2008-07,34.026,
2008-10,34.814,
2009-01,35.063,
2009-04,35.393,
2009-07,35.513,
2009-10,35.844,
2010-01,35.889,
2010-04,36.335,
2010-07,36.783,
2010-10,37.223,
2011-01,37.219,
2011-04,37.581,
2011-07,40.253,
2011-10,40.669,
2012-01,40.974,
2012-04,41.418,
2012-07,41.370,
2012-10,41.762,
2013-01,41.571,
2013-04,41.857,
2013-07,41.855,
2013-10,42.178,
2014-01,42.011,
2014-04,41.582,
2014-07,41.795,
2014-10,41.958,
