"",BBK01.OEYJ03U,BBK01.OEYJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:47,
2002-01,0.051,
2002-04,0.045,
2002-07,0.045,
2002-10,0.044,
2003-01,0.043,
2003-04,0.042,
2003-07,0.042,
2003-10,0.043,
2004-01,0.042,
2004-04,0.041,
2004-07,0.040,
2004-10,0.031,
2005-01,0.030,
2005-04,0.037,
2005-07,0.036,
2005-10,0.046,
2006-01,0.047,
2006-04,0.046,
2006-07,0.051,
2006-10,0.045,
2007-01,0.056,
2007-04,0.026,
2007-07,0.036,
2007-10,0.035,
2008-01,0.035,
2008-04,0.045,
2008-07,0.091,
2008-10,0.232,
2009-01,0.361,
2009-04,0.350,
2009-07,0.383,
2009-10,0.396,
2010-01,0.434,
2010-04,0.511,
2010-07,0.521,
2010-10,0.530,
2011-01,0.530,
2011-04,0.586,
2011-07,0.592,
2011-10,0.562,
2012-01,0.629,
2012-04,0.661,
2012-07,0.662,
2012-10,0.764,
2013-01,0.844,
2013-04,0.950,
2013-07,0.963,
2013-10,0.973,
2014-01,0.972,
2014-04,0.973,
2014-07,0.959,
