"",BBEX3.M.RWF.USD.CA.AB.A01,BBEX3.M.RWF.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Rwanda  / USD 1 = RWF ... (selling),
unit,RWF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:30,
1990-01,78.160200,
1990-02,78.751300,
1990-03,79.897500,
1990-04,79.672000,
1990-05,78.468700,
1990-06,78.451600,
1990-07,76.430500,
1990-08,74.965100,
1990-09,74.547600,
1990-10,72.435200,
1990-11,120.049600,comment
1990-12,122.330400,
1991-01,120.592400,
1991-02,121.917200,
1991-03,128.941700,
1991-04,130.308600,
1991-05,128.308600,
1991-06,131.524800,
1991-07,129.571300,
1991-08,129.179400,
1991-09,127.276100,
1991-10,126.558300,
1991-11,124.703600,
1991-12,120.989100,
1992-01,123.563800,
1992-02,125.095800,
1992-03,126.182100,
1992-04,126.060400,
1992-05,124.762300,
1992-06,141.610800,comment
1992-07,141.179800,
1992-08,137.555200,
1992-09,138.274700,
1992-10,144.657600,
1992-11,147.417400,
1992-12,147.733300,
1993-01,146.534400,
1993-02,147.237600,
1993-03,146.616500,
1993-04,143.222200,
1993-05,143.336700,
1993-06,145.794200,
1993-07,146.042000,
1993-08,144.336800,
1993-09,143.300500,
1993-10,146.232000,
1993-11,147.108600,
1993-12,147.828700,
1994-01,147.169300,
1994-02,145.736000,
1994-03,144.283800,
1994-04,143.740100,
1994-05,143.731100,
1994-06,140.219100,
1994-07,140.931600,
1994-08,140.314900,
1994-09,138.724100,
1994-10,136.627900,
1994-11,139.292500,
1994-12,139.719000,
1995-01,137.977900,
1995-02,135.979700,
1995-03,249.589200,comment
1995-04,255.296400,
1995-05,277.825200,
1995-06,293.299600,
1995-07,322.296700,
1995-08,317.822900,
1995-09,316.252000,
1995-10,307.066900,
1995-11,304.573900,
1995-12,299.918900,
1996-01,307.557500,
1996-02,304.572400,
1996-03,307.721700,
1996-04,305.794400,
1996-05,310.625900,
1996-06,311.906300,
1996-07,310.502900,
1996-08,309.503400,
1996-09,313.317100,
1996-10,311.668700,
1996-11,314.352700,
1996-12,304.593600,
1997-01,308.793400,
1997-02,306.400900,
1997-03,309.262700,
1997-04,306.242700,
1997-05,305.125600,
1997-06,305.125600,
1997-07,298.727500,
1997-08,301.464400,
1997-09,303.439900,
1997-10,303.405800,
1997-11,305.438400,
1997-12,305.155700,
1998-01,307.088400,
1998-02,311.632300,
1998-03,308.319900,
1998-04,310.566900,
1998-05,312.605500,
1998-06,314.110600,
1998-07,315.058200,
1998-08,319.042400,
1998-09,324.240900,
1998-10,328.994400,
1998-11,330.214100,
1998-12,341.496900,
1999-01,327.980500,
1999-02,338.666300,
1999-03,338.385800,
1999-04,339.901900,
1999-05,342.181600,
1999-06,341.701700,
1999-07,335.463500,
1999-08,339.072700,
1999-09,338.016900,
1999-10,339.181600,
1999-11,345.857700,
1999-12,353.025500,
2000-01,362.641700,
2000-02,367.089300,
2000-03,369.756700,
2000-04,375.171500,
2000-05,382.052300,
2000-06,392.413900,
2000-07,399.130000,
2000-08,413.544400,
