"",BBK01.OEXI08U,BBK01.OEXI08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:18,
2002-01,0.362,
2002-04,0.350,
2002-07,0.324,
2002-10,0.345,
2003-01,0.361,
2003-04,0.367,
2003-07,0.376,
2003-10,0.392,
2004-01,0.393,
2004-04,0.348,
2004-07,0.343,
2004-10,0.336,
2005-01,0.350,
2005-04,0.356,
2005-07,0.360,
2005-10,0.376,
2006-01,0.384,
2006-04,0.370,
2006-07,0.352,
2006-10,0.391,
2007-01,0.389,
2007-04,0.383,
2007-07,0.376,
2007-10,0.394,
2008-01,0.403,
2008-04,0.396,
2008-07,0.391,
2008-10,0.386,
2009-01,0.381,
2009-04,0.360,
2009-07,0.385,
2009-10,0.421,
2010-01,0.428,
2010-04,0.420,
2010-07,0.424,
2010-10,0.424,
2011-01,0.413,
2011-04,0.392,
2011-07,0.366,
2011-10,0.366,
2012-01,0.360,
2012-04,0.352,
2012-07,0.378,
2012-10,0.387,
2013-01,0.388,
2013-04,0.390,
2013-07,0.400,
2013-10,0.409,
2014-01,0.412,
2014-04,0.406,
2014-07,0.398,
