"",BBK01.OEAB14I,BBK01.OEAB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:43,
2002-01,1.865,
2002-04,1.847,
2002-07,1.805,
2002-10,1.805,
2003-01,1.669,
2003-04,1.718,
2003-07,1.693,
2003-10,1.640,
2004-01,1.498,
2004-04,1.516,
2004-07,1.538,
2004-10,1.439,
2005-01,1.542,
2005-04,1.516,
2005-07,1.600,
2005-10,1.488,
2006-01,1.346,
2006-04,1.303,
2006-07,1.251,
2006-10,1.178,
2007-01,1.073,
2007-04,1.047,
2007-07,0.996,
2007-10,0.982,
2008-01,0.950,
2008-04,0.937,
2008-07,0.938,
2008-10,0.960,
2009-01,0.977,
2009-04,0.996,
2009-07,0.997,
2009-10,0.983,
2010-01,0.975,
2010-04,0.954,
2010-07,0.983,
2010-10,0.928,
2011-01,0.910,
2011-04,0.896,
2011-07,0.858,
2011-10,0.819,
2012-01,0.824,
2012-04,0.843,
2012-07,0.783,
2012-10,0.802,
2013-01,0.779,
2013-04,0.762,
2013-07,0.711,
2013-10,0.704,
2014-01,0.695,
2014-04,0.691,
2014-07,0.690,
