"",BBSF2.M.1.P.00000.GEM01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEM01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Mixed securities funds / Long-term debt securities / Germany,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:52,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,844,
1993-05,833,
1993-06,861,
1993-07,1010,
1993-08,1047,
1993-09,1075,
1993-10,1120,
1993-11,1244,
1993-12,1381,
1994-01,1530,
1994-02,1672,
1994-03,1704,
1994-04,1728,
1994-05,1717,
1994-06,1749,
1994-07,1775,
1994-08,1790,
1994-09,1712,
1994-10,1752,
1994-11,1912,
1994-12,1986,
1995-01,2014,
1995-02,2039,
1995-03,2167,
1995-04,2173,
1995-05,2173,
1995-06,2084,
1995-07,2095,
1995-08,2124,
1995-09,2126,
1995-10,2210,
1995-11,2224,
1995-12,2224,
1996-01,2226,
1996-02,2157,
1996-03,2151,
1996-04,2172,
1996-05,2174,
1996-06,2107,
1996-07,2199,
1996-08,2254,
1996-09,2261,
1996-10,2300,
1996-11,2309,
1996-12,2294,
1997-01,2330,
1997-02,2387,
1997-03,2386,
1997-04,2350,
1997-05,2405,
1997-06,2457,
1997-07,2506,
1997-08,2522,
1997-09,2558,
1997-10,2565,
1997-11,2574,
1997-12,2604,
1998-01,2707,
1998-02,2846,
1998-03,2963,
1998-04,3049,
1998-05,3035,
1998-06,3089,
1998-07,3192,
1998-08,3276,
1998-09,3226,
1998-10,3199,
1998-11,3247,
1998-12,3237,
1999-01,3439,
1999-02,3466,
1999-03,3549,
1999-04,3633,
1999-05,3647,
1999-06,3579,
1999-07,3634,
1999-08,3614,
1999-09,3629,
1999-10,3623,
1999-11,3606,
1999-12,3617,
2000-01,3497,
2000-02,3508,
2000-03,3548,
2000-04,3493,
2000-05,3400,
2000-06,3314,
2000-07,3327,
2000-08,3349,
2000-09,3362,
2000-10,3428,
2000-11,3446,
2000-12,3461,
2001-01,3490,
2001-02,3413,
2001-03,3294,
2001-04,3125,
2001-05,3040,
2001-06,3033,
2001-07,3100,
2001-08,3098,
2001-09,2990,
2001-10,3018,
2001-11,2955,
2001-12,2875,
2002-01,2857,
2002-02,2883,
2002-03,2887,
2002-04,2895,
2002-05,2976,
2002-06,2942,
2002-07,3018,
2002-08,3091,
2002-09,3133,
2002-10,3037,
2002-11,2870,
2002-12,2815,
2003-01,2716,
2003-02,2580,
2003-03,2639,
2003-04,2608,
2003-05,2598,
2003-06,2616,
2003-07,2826,
2003-08,2920,
2003-09,3039,
2003-10,3082,
2003-11,2997,
2003-12,3097,
2004-01,3174,
2004-02,3257,
2004-03,3351,
2004-04,3373,
2004-05,3374,
2004-06,3390,
2004-07,3336,
2004-08,3385,
2004-09,3616,
2004-10,3660,
2004-11,3610,
2004-12,3580,
2005-01,3669,
2005-02,3703,
2005-03,3644,
2005-04,3679,
2005-05,3713,
2005-06,3987,
2005-07,4058,
2005-08,4108,
2005-09,4149,
2005-10,4100,
2005-11,4149,
2005-12,4203,
2006-01,4382,
2006-02,4502,
2006-03,4581,
2006-04,4533,
2006-05,4761,
2006-06,4716,
2006-07,4876,
2006-08,4881,
2006-09,5051,
2006-10,4935,
2006-11,4960,
2006-12,4743,
2007-01,4963,
2007-02,5137,
2007-03,5018,
2007-04,5558,
2007-05,5583,
2007-06,5490,
2007-07,5894,
2007-08,5954,
2007-09,5715,
2007-10,5936,
2007-11,5931,
2007-12,5710,
2008-01,5976,
2008-02,6342,
2008-03,6182,
2008-04,5573,
2008-05,5482,
2008-06,5251,
2008-07,5221,
2008-08,5240,
2008-09,5391,
2008-10,5434,
2008-11,5332,
2008-12,5525,
2009-01,5750,
2009-02,5729,
2009-03,5602,
2009-04,5156,
2009-05,4774,
2009-06,4888,
2009-07,4785,
2009-08,4889,
2009-09,4285,
2009-10,4266,
2009-11,4368,
2009-12,4395,
2010-01,4666,
2010-02,4899,
2010-03,5072,
2010-04,5268,
2010-05,5566,
2010-06,5711,
2010-07,5868,
2010-08,6110,
2010-09,6143,
2010-10,6227,
2010-11,6365,
2010-12,6280,
2011-01,6343,
2011-02,6402,
2011-03,6473,
2011-04,6425,
2011-05,6482,
2011-06,6301,
2011-07,6479,
2011-08,6434,
2011-09,6170,
2011-10,6297,
2011-11,6082,
2011-12,5693,
2012-01,5861,
2012-02,5943,
2012-03,5857,
2012-04,6060,
2012-05,6145,
2012-06,5830,
2012-07,5884,
2012-08,5776,
2012-09,5770,
2012-10,5640,
2012-11,5620,
2012-12,5450,
2013-01,5454,
2013-02,5608,
2013-03,5598,
2013-04,5645,
2013-05,5608,
2013-06,5297,
2013-07,5236,
2013-08,5289,
2013-09,5209,
2013-10,5102,
2013-11,4980,
2013-12,4945,
2014-01,5034,
2014-02,5144,
2014-03,5132,
2014-04,5157,
2014-05,5214,
2014-06,5289,
2014-07,5327,
2014-08,7085,
2014-09,7224,
2014-10,7459,
2014-11,7587,
