"",BBSF2.M.1.S.I0122.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Domestic credit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:18,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,179,
1993-05,184,
1993-06,186,
1993-07,189,
1993-08,196,
1993-09,201,
1993-10,208,
1993-11,210,
1993-12,215,
1994-01,220,
1994-02,232,
1994-03,241,
1994-04,251,
1994-05,261,
1994-06,265,
1994-07,276,
1994-08,286,
1994-09,287,
1994-10,289,
1994-11,291,
1994-12,298,
1995-01,303,
1995-02,309,
1995-03,312,
1995-04,313,
1995-05,316,
1995-06,317,
1995-07,322,
1995-08,329,
1995-09,332,
1995-10,335,
1995-11,335,
1995-12,333,
1996-01,337,
1996-02,342,
1996-03,344,
1996-04,350,
1996-05,353,
1996-06,352,
1996-07,353,
1996-08,361,
1996-09,365,
1996-10,373,
1996-11,376,
1996-12,384,
1997-01,388,
1997-02,396,
1997-03,408,
1997-04,418,
1997-05,422,
1997-06,433,
1997-07,461,
1997-08,475,
1997-09,493,
1997-10,511,
1997-11,520,
1997-12,533,
1998-01,558,
1998-02,579,
1998-03,631,
1998-04,641,
1998-05,650,
1998-06,674,
1998-07,697,
1998-08,723,
1998-09,750,
1998-10,766,
1998-11,771,
1998-12,795,
1999-01,810,
1999-02,817,
1999-03,837,
1999-04,850,
1999-05,865,
1999-06,880,
1999-07,889,
1999-08,908,
1999-09,909,
1999-10,924,
1999-11,929,
1999-12,950,
2000-01,964,
2000-02,974,
2000-03,996,
2000-04,1019,
2000-05,1031,
2000-06,1040,
2000-07,1049,
2000-08,1060,
2000-09,1071,
2000-10,1078,
2000-11,1091,
2000-12,1102,
2001-01,1115,
2001-02,1125,
2001-03,1125,
2001-04,1130,
2001-05,1134,
2001-06,1137,
2001-07,1138,
2001-08,1144,
2001-09,1144,
2001-10,1146,
2001-11,1141,
2001-12,1134,
2002-01,1136,
2002-02,1134,
2002-03,1130,
2002-04,1130,
2002-05,1126,
2002-06,1122,
2002-07,1119,
2002-08,1122,
2002-09,1119,
2002-10,1120,
2002-11,1119,
2002-12,1097,
2003-01,1093,
2003-02,1092,
2003-03,1091,
2003-04,1092,
2003-05,1089,
2003-06,1084,
2003-07,1084,
2003-08,1083,
2003-09,1085,
2003-10,1090,
2003-11,1090,
2003-12,1101,
2004-01,1116,
2004-02,1108,
2004-03,1109,
2004-04,1104,
2004-05,1093,
2004-06,1086,
2004-07,1085,
2004-08,1084,
2004-09,1084,
2004-10,1081,
2004-11,1067,
2004-12,1060,
2005-01,1056,
2005-02,1027,
2005-03,1007,
2005-04,1006,
2005-05,991,
2005-06,982,
2005-07,973,
2005-08,970,
2005-09,958,
2005-10,941,
2005-11,882,
2005-12,843,
2006-01,808,
2006-02,804,
2006-03,776,
2006-04,764,
2006-05,746,
2006-06,738,
2006-07,731,
2006-08,719,
2006-09,720,
2006-10,710,
2006-11,708,
2006-12,698,
2007-01,690,
2007-02,681,
2007-03,673,
2007-04,728,
2007-05,732,
2007-06,739,
2007-07,751,
2007-08,757,
2007-09,763,
2007-10,759,
2007-11,754,
2007-12,779,
2008-01,767,
2008-02,759,
2008-03,749,
2008-04,748,
2008-05,743,
2008-06,734,
2008-07,711,
2008-08,709,
2008-09,702,
2008-10,697,
2008-11,696,
2008-12,668,
2009-01,664,
2009-02,659,
2009-03,655,
2009-04,640,
2009-05,632,
2009-06,624,
2009-07,619,
2009-08,620,
2009-09,641,
2009-10,641,
2009-11,641,
2009-12,638,
2010-01,631,
2010-02,621,
2010-03,609,
2010-04,570,
2010-05,543,
2010-06,532,
2010-07,517,
2010-08,519,
2010-09,517,
2010-10,519,
2010-11,517,
2010-12,514,
2011-01,515,
2011-02,512,
2011-03,511,
2011-04,513,
2011-05,513,
2011-06,514,
2011-07,514,
2011-08,513,
2011-09,537,
2011-10,610,
2011-11,606,
2011-12,601,
2012-01,599,
2012-02,591,
2012-03,583,
2012-04,585,
2012-05,586,
2012-06,584,
2012-07,586,
2012-08,587,
2012-09,591,
2012-10,593,
2012-11,593,
2012-12,592,
2013-01,590,
2013-02,590,
2013-03,588,
2013-04,587,
2013-05,591,
2013-06,592,
2013-07,604,
2013-08,604,
2013-09,599,
2013-10,595,
2013-11,591,
2013-12,594,
2014-01,591,
2014-02,594,
2014-03,585,
2014-04,590,
2014-05,595,
2014-06,593,
2014-07,592,
2014-08,603,
2014-09,601,
2014-10,600,
2014-11,600,
