"",BBK01.OEHO02V,BBK01.OEHO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:19,
2002-01,1.620,
2002-04,1.193,
2002-07,1.247,
2002-10,1.455,
2003-01,1.524,
2003-04,1.249,
2003-07,1.123,
2003-10,1.345,
2004-01,1.246,
2004-04,0.994,
2004-07,1.082,
2004-10,1.306,
2005-01,1.296,
2005-04,1.027,
2005-07,0.951,
2005-10,1.142,
2006-01,1.266,
2006-04,1.070,
2006-07,0.923,
2006-10,1.184,
2007-01,1.264,
2007-04,0.953,
2007-07,1.008,
2007-10,1.075,
2008-01,1.006,
2008-04,0.806,
2008-07,0.850,
2008-10,1.222,
2009-01,1.212,
2009-04,1.054,
2009-07,1.046,
2009-10,1.171,
2010-01,1.044,
2010-04,0.869,
2010-07,0.777,
2010-10,0.905,
2011-01,0.931,
2011-04,0.745,
2011-07,0.780,
2011-10,0.818,
2012-01,0.883,
2012-04,0.951,
2012-07,0.850,
2012-10,0.975,
2013-01,0.963,
2013-04,0.694,
2013-07,0.678,
2013-10,0.760,
2014-01,0.788,
2014-04,0.741,
2014-07,0.700,
