"",BBK01.PQE353,BBK01.PQE353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:09,
1958-10,-,Nothing exists
1959-01,-,Nothing exists
1959-04,-,Nothing exists
1959-07,-,Nothing exists
1959-10,-,Nothing exists
1960-01,-,Nothing exists
1960-04,-,Nothing exists
1960-07,-,Nothing exists
1960-10,-,Nothing exists
1961-01,-,Nothing exists
1961-04,-,Nothing exists
1961-07,-,Nothing exists
1961-10,-,Nothing exists
1962-01,-,Nothing exists
1962-04,-,Nothing exists
1962-07,-,Nothing exists
1962-10,-,Nothing exists
1963-01,-,Nothing exists
1963-04,-,Nothing exists
1963-07,-,Nothing exists
1963-10,-,Nothing exists
1964-01,-,Nothing exists
1964-04,-,Nothing exists
1964-07,-,Nothing exists
1964-10,-,Nothing exists
1965-01,-,Nothing exists
1965-04,-,Nothing exists
1965-07,-,Nothing exists
1965-10,-,Nothing exists
1966-01,-,Nothing exists
1966-04,-,Nothing exists
1966-07,-,Nothing exists
1966-10,-,Nothing exists
1967-01,-,Nothing exists
1967-04,-,Nothing exists
1967-07,-,Nothing exists
1967-10,-,Nothing exists
1968-01,-,Nothing exists
1968-04,-,Nothing exists
1968-07,-,Nothing exists
1968-10,0.023,
1969-01,0.026,
1969-04,0.029,
1969-07,0.036,
1969-10,0.040,
1970-01,0.034,
1970-04,0.033,
1970-07,0.035,
1970-10,0.034,
1971-01,0.045,
1971-04,0.047,
1971-07,0.097,
1971-10,0.106,
1972-01,0.147,
1972-04,0.189,
1972-07,0.240,
1972-10,0.281,
1973-01,0.327,
1973-04,0.338,
1973-07,0.356,
1973-10,0.402,
1974-01,0.360,
1974-04,0.391,
1974-07,0.420,
1974-10,0.470,
1975-01,0.472,
1975-04,0.465,
1975-07,0.476,
1975-10,0.535,
1976-01,0.530,
1976-04,0.527,
1976-07,0.240,
1976-10,0.266,
1977-01,0.255,
1977-04,0.259,
1977-07,0.188,
1977-10,0.222,
1978-01,0.209,
1978-04,0.224,
1978-07,0.251,
1978-10,0.284,
1979-01,0.298,
1979-04,0.323,
1979-07,0.362,
1979-10,0.368,
1980-01,0.373,
1980-04,0.363,
1980-07,0.356,
1980-10,0.390,
1981-01,0.361,
1981-04,0.392,
1981-07,0.400,
1981-10,0.463,
1982-01,0.419,
1982-04,0.411,
1982-07,0.436,
1982-10,0.438,
1983-01,0.424,
1983-04,0.421,
1983-07,0.428,
1983-10,0.458,
1984-01,0.476,
1984-04,0.490,
1984-07,0.519,
1984-10,0.606,
1985-01,0.590,
1985-04,0.596,
1985-07,0.610,
1985-10,0.672,
1986-01,0.695,
1986-04,0.682,
1986-07,0.682,
1986-10,0.612,
1987-01,0.669,
1987-04,0.680,
1987-07,0.681,
1987-10,0.727,
1988-01,0.715,
1988-04,0.658,
1988-07,0.694,
1988-10,0.733,
1989-01,0.698,
1989-04,0.689,
1989-07,0.670,
1989-10,0.646,
1990-01,0.632,
1990-04,0.580,
1990-07,0.567,
1990-10,0.527,
1991-01,0.536,
1991-04,0.537,
1991-07,0.514,
1991-10,0.567,
1992-01,0.546,
1992-04,0.474,
1992-07,0.468,
1992-10,0.509,
1993-01,0.486,
1993-04,0.540,
1993-07,0.575,
1993-10,0.607,
1994-01,0.568,
1994-04,0.560,
1994-07,0.607,
1994-10,0.735,
1995-01,1.636,
1995-04,1.631,
1995-07,1.601,
1995-10,1.761,
1996-01,1.854,
1996-04,1.903,
1996-07,1.884,
1996-10,2.182,
1997-01,2.244,
1997-04,2.759,
1997-07,2.580,
1997-10,2.607,
1998-01,3.728,
1998-04,3.726,
1998-07,3.744,
1998-10,4.016,
1999-01,2.047,
1999-04,2.280,
1999-07,2.465,
1999-10,2.459,
2000-01,2.942,
2000-04,2.931,
2000-07,2.966,
2000-10,3.382,
2001-01,3.534,
2001-04,3.409,
2001-07,4.029,
2001-10,4.141,
2002-01,4.289,
2002-04,4.692,
2002-07,5.099,
2002-10,4.931,
2003-01,5.400,
2003-04,5.175,
2003-07,4.784,
2003-10,4.800,
2004-01,5.010,
2004-04,5.229,
2004-07,5.195,
2004-10,5.260,
2005-01,5.247,
2005-04,5.672,
2005-07,6.062,
2005-10,7.044,
2006-01,7.132,
2006-04,7.484,
2006-07,7.207,
2006-10,7.247,
2007-01,7.736,
2007-04,7.854,
2007-07,10.417,
2007-10,10.907,
2008-01,11.839,
2008-04,12.071,
2008-07,12.318,
2008-10,12.715,
2009-01,12.871,
2009-04,12.825,
2009-07,12.778,
2009-10,12.150,
2010-01,13.014,
2010-04,12.681,
2010-07,15.305,
2010-10,15.023,
2011-01,14.730,
2011-04,14.110,
2011-07,13.582,
2011-10,13.512,
2012-01,13.509,
2012-04,13.288,
2012-07,12.737,
2012-10,8.187,
2013-01,8.391,
2013-04,8.525,
2013-07,8.611,
2013-10,8.613,
2014-01,8.519,
2014-04,8.684,
2014-07,9.026,
2014-10,9.366,
