"",BBK01.OEAA54P,BBK01.OEAA54P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:08,
2002-01,0.392,
2002-04,0.342,
2002-07,0.334,
2002-10,0.318,
2003-01,0.309,
2003-04,0.309,
2003-07,0.338,
2003-10,0.318,
2004-01,0.334,
2004-04,0.407,
2004-07,0.366,
2004-10,0.365,
2005-01,0.309,
2005-04,0.320,
2005-07,0.294,
2005-10,0.257,
2006-01,0.272,
2006-04,0.250,
2006-07,0.246,
2006-10,0.317,
2007-01,0.344,
2007-04,0.422,
2007-07,0.432,
2007-10,0.555,
2008-01,0.620,
2008-04,0.878,
2008-07,1.014,
2008-10,1.048,
2009-01,1.063,
2009-04,1.057,
2009-07,1.051,
2009-10,1.005,
2010-01,0.972,
2010-04,0.487,
2010-07,0.502,
2010-10,0.738,
2011-01,0.732,
2011-04,0.771,
2011-07,0.803,
2011-10,0.807,
2012-01,0.743,
2012-04,0.696,
2012-07,0.683,
2012-10,0.677,
2013-01,0.689,
2013-04,0.553,
2013-07,0.601,
2013-10,0.632,
2014-01,0.628,
2014-04,0.652,
2014-07,0.647,
