"",BBFB1.Q.N.DE.1A.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:56,
1991-01,155.929,
1991-04,158.669,
1991-07,165.865,
1991-10,197.964,
1992-01,227.392,
1992-04,226.803,
1992-07,217.282,
1992-10,213.359,
1993-01,210.171,
1993-04,215.081,
1993-07,225.090,
1993-10,224.449,
1994-01,197.528,
1994-04,218.832,
1994-07,224.940,
1994-10,258.488,
1995-01,278.283,
1995-04,287.689,
1995-07,269.813,
1995-10,271.380,
1996-01,262.506,
1996-04,250.182,
1996-07,275.360,
1996-10,297.853,
1997-01,323.199,
1997-04,340.261,
1997-07,325.672,
1997-10,286.689,
1998-01,272.269,
1998-04,252.186,
1998-07,219.979,
1998-10,227.562,
1999-01,218.210,
1999-04,232.939,
1999-07,247.445,
1999-10,281.149,
2000-01,364.586,
2000-04,420.318,
2000-07,407.162,
2000-10,368.907,
2001-01,341.096,
2001-04,335.561,
2001-07,289.691,
2001-10,307.867,
2002-01,277.263,
2002-04,283.537,
2002-07,420.080,
2002-10,439.954,
2003-01,382.366,
2003-04,507.225,
2003-07,501.883,
2003-10,332.505,
2004-01,259.228,
2004-04,257.020,
2004-07,227.496,
2004-10,226.282,
2005-01,252.842,
2005-04,295.283,
2005-07,330.719,
2005-10,301.598,
2006-01,332.616,
2006-04,392.227,
2006-07,463.123,
2006-10,544.579,
2007-01,650.940,
2007-04,842.595,
2007-07,969.720,
2007-10,1154.519,
2008-01,783.973,
2008-04,630.615,
2008-07,519.216,
2008-10,375.721,
2009-01,306.845,
2009-04,281.041,
2009-07,251.139,
2009-10,222.168,
2010-01,128.382,
2010-04,109.575,
2010-07,79.300,
2010-10,82.104,
2011-01,99.830,
2011-04,117.634,
2011-07,129.677,
2011-10,146.482,
2012-01,143.387,
2012-04,135.059,
2012-07,116.933,
2012-10,88.353,
2013-01,75.701,
2013-04,79.030,
2013-07,74.990,
2013-10,81.085,
2014-01,75.002,Provisional value
2014-04,79.260,Provisional value
2014-07,71.318,Provisional value
