"",BBK01.OEAA50K,BBK01.OEAA50K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:13,
2002-01,3.721,
2002-04,3.419,
2002-07,3.297,
2002-10,3.036,
2003-01,2.962,
2003-04,3.187,
2003-07,3.262,
2003-10,3.097,
2004-01,3.429,
2004-04,3.246,
2004-07,3.699,
2004-10,3.469,
2005-01,2.978,
2005-04,2.538,
2005-07,2.380,
2005-10,2.524,
2006-01,2.849,
2006-04,3.086,
2006-07,3.693,
2006-10,3.073,
2007-01,3.325,
2007-04,4.096,
2007-07,4.518,
2007-10,4.310,
2008-01,6.417,
2008-04,4.649,
2008-07,5.093,
2008-10,4.888,
2009-01,5.093,
2009-04,3.955,
2009-07,3.733,
2009-10,3.743,
2010-01,3.974,
2010-04,4.178,
2010-07,5.453,
2010-10,4.840,
2011-01,4.457,
2011-04,4.256,
2011-07,4.694,
2011-10,4.485,
2012-01,4.086,
2012-04,4.369,
2012-07,4.191,
2012-10,3.255,
2013-01,3.455,
2013-04,3.622,
2013-07,3.652,
2013-10,3.221,
2014-01,3.037,
2014-04,3.308,
2014-07,3.383,
