"",BBDE1.M.DE.Y.BAA1.N2C320000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C320000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 32 Other manufacturing / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:57,
1991-01,84.0,
1991-02,80.2,
1991-03,85.4,
1991-04,82.6,
1991-05,82.4,
1991-06,85.4,
1991-07,81.7,
1991-08,84.2,
1991-09,82.9,
1991-10,82.9,
1991-11,82.0,
1991-12,83.0,
1992-01,81.3,
1992-02,80.6,
1992-03,79.5,
1992-04,80.6,
1992-05,81.1,
1992-06,80.7,
1992-07,78.4,
1992-08,83.7,
1992-09,78.1,
1992-10,80.8,
1992-11,80.0,
1992-12,80.8,
1993-01,80.3,
1993-02,73.7,
1993-03,72.6,
1993-04,74.1,
1993-05,73.2,
1993-06,75.4,
1993-07,72.6,
1993-08,77.4,
1993-09,74.7,
1993-10,73.5,
1993-11,77.9,
1993-12,75.3,
1994-01,75.5,
1994-02,72.0,
1994-03,72.6,
1994-04,73.2,
1994-05,72.2,
1994-06,71.9,
1994-07,75.1,
1994-08,73.8,
1994-09,74.9,
1994-10,74.3,
1994-11,71.8,
1994-12,75.0,
1995-01,70.6,
1995-02,76.9,
1995-03,75.0,
1995-04,73.5,
1995-05,76.1,
1995-06,74.1,
1995-07,74.6,
1995-08,69.9,
1995-09,75.3,
1995-10,71.7,
1995-11,73.3,
1995-12,72.4,
1996-01,73.6,
1996-02,75.1,
1996-03,76.0,
1996-04,74.6,
1996-05,74.9,
1996-06,77.8,
1996-07,74.4,
1996-08,72.4,
1996-09,73.5,
1996-10,74.4,
1996-11,74.2,
1996-12,74.7,
1997-01,76.7,
1997-02,75.1,
1997-03,77.0,
1997-04,75.7,
1997-05,71.1,
1997-06,76.1,
1997-07,75.7,
1997-08,73.3,
1997-09,77.0,
1997-10,76.5,
1997-11,75.9,
1997-12,77.2,
1998-01,79.5,
1998-02,74.4,
1998-03,80.9,
1998-04,78.5,
1998-05,78.6,
1998-06,80.2,
1998-07,80.2,
1998-08,77.8,
1998-09,82.4,
1998-10,81.5,
1998-11,76.6,
1998-12,79.8,
1999-01,75.7,
1999-02,74.8,
1999-03,76.3,
1999-04,75.1,
1999-05,74.9,
1999-06,76.6,
1999-07,79.2,
1999-08,75.7,
1999-09,76.6,
1999-10,78.4,
1999-11,79.8,
1999-12,80.0,
2000-01,79.3,
2000-02,80.3,
2000-03,77.9,
2000-04,80.1,
2000-05,84.0,
2000-06,80.1,
2000-07,82.6,
2000-08,83.5,
2000-09,85.7,
2000-10,82.2,
2000-11,85.0,
2000-12,83.6,
2001-01,82.7,
2001-02,82.9,
2001-03,83.5,
2001-04,84.1,
2001-05,86.0,
2001-06,84.1,
2001-07,83.4,
2001-08,86.5,
2001-09,84.6,
2001-10,85.7,
2001-11,81.8,
2001-12,84.8,
2002-01,84.3,
2002-02,85.0,
2002-03,87.5,
2002-04,84.8,
2002-05,85.0,
2002-06,85.2,
2002-07,84.0,
2002-08,85.0,
2002-09,83.8,
2002-10,83.9,
2002-11,85.7,
2002-12,83.9,
2003-01,89.7,
2003-02,90.1,
2003-03,88.9,
2003-04,89.3,
2003-05,85.4,
2003-06,85.0,
2003-07,87.7,
2003-08,86.1,
2003-09,83.5,
2003-10,87.1,
2003-11,86.7,
2003-12,86.2,
2004-01,85.0,
2004-02,89.3,
2004-03,87.6,
2004-04,88.7,
2004-05,88.9,
2004-06,86.9,
2004-07,90.1,
2004-08,87.0,
2004-09,88.9,
2004-10,87.3,
2004-11,88.3,
2004-12,86.6,
2005-01,87.6,
2005-02,85.9,
2005-03,85.6,
2005-04,88.3,
2005-05,87.3,
2005-06,91.0,
2005-07,89.6,
2005-08,86.6,
2005-09,90.4,
2005-10,93.6,
2005-11,90.3,
2005-12,88.3,
2006-01,93.3,
2006-02,91.1,
2006-03,91.3,
2006-04,94.3,
2006-05,93.6,
2006-06,96.8,
2006-07,95.9,
2006-08,95.4,
2006-09,95.1,
2006-10,97.0,
2006-11,98.8,
2006-12,102.0,
2007-01,96.0,
2007-02,96.7,
2007-03,97.1,
2007-04,97.8,
2007-05,99.8,
2007-06,100.3,
2007-07,100.8,
2007-08,101.1,
2007-09,101.7,
2007-10,100.4,
2007-11,100.4,
2007-12,103.1,
2008-01,101.8,
2008-02,103.4,
2008-03,101.7,
2008-04,102.0,
2008-05,99.2,
2008-06,100.6,
2008-07,100.3,
2008-08,100.7,
2008-09,101.1,
2008-10,97.8,
2008-11,95.4,
2008-12,97.4,
2009-01,97.7,
2009-02,93.3,
2009-03,89.6,
2009-04,91.1,
2009-05,95.3,
2009-06,92.8,
2009-07,91.9,
2009-08,93.1,
2009-09,92.4,
2009-10,91.4,
2009-11,91.3,
2009-12,92.1,
2010-01,96.8,
2010-02,95.7,
2010-03,95.3,
2010-04,96.4,
2010-05,99.3,
2010-06,96.6,
2010-07,100.0,
2010-08,99.5,
2010-09,100.9,
2010-10,103.9,
2010-11,105.8,
2010-12,102.5,
2011-01,105.4,
2011-02,103.5,
2011-03,104.8,
2011-04,105.2,
2011-05,103.8,
2011-06,101.9,
2011-07,103.7,
2011-08,103.8,
2011-09,103.5,
2011-10,105.4,
2011-11,104.9,
2011-12,105.7,
2012-01,103.5,
2012-02,105.0,
2012-03,108.3,
2012-04,107.4,
2012-05,110.9,
2012-06,109.3,
2012-07,107.5,
2012-08,112.0,
2012-09,111.0,
2012-10,108.2,
2012-11,109.4,
2012-12,109.7,
2013-01,109.8,
2013-02,109.8,
2013-03,112.4,
2013-04,110.2,
2013-05,111.6,
2013-06,115.0,
2013-07,111.4,
2013-08,112.5,
2013-09,113.0,
2013-10,111.1,
2013-11,111.5,
2013-12,112.5,
2014-01,115.3,
2014-02,116.4,
2014-03,114.1,
2014-04,116.6,
2014-05,114.5,
2014-06,116.2,
2014-07,117.5,
2014-08,115.2,
2014-09,114.0,
2014-10,116.7,Provisional value
2014-11,114.5,Provisional value
2014-12,117.8,Provisional value
