"",BBSF2.M.1.P.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:53,
2009-09,8036,
2009-10,7913,
2009-11,8034,
2009-12,8670,
2010-01,8224,
2010-02,8317,
2010-03,8730,
2010-04,8597,
2010-05,8073,
2010-06,8047,
2010-07,8164,
2010-08,7995,
2010-09,8286,
2010-10,8870,
2010-11,9023,
2010-12,9259,
2011-01,9342,
2011-02,9489,
2011-03,9281,
2011-04,9553,
2011-05,9469,
2011-06,9108,
2011-07,8861,
2011-08,7579,
2011-09,7082,
2011-10,7663,
2011-11,7424,
2011-12,7714,
2012-01,8153,
2012-02,8549,
2012-03,8571,
2012-04,8407,
2012-05,8041,
2012-06,8095,
2012-07,8632,
2012-08,8710,
2012-09,8968,
2012-10,8989,
2012-11,9217,
2012-12,9266,
2013-01,9723,
2013-02,9861,
2013-03,9976,
2013-04,10010,
2013-05,10128,
2013-06,9879,
2013-07,10273,
2013-08,10098,
2013-09,10448,
2013-10,10835,
2013-11,10948,
2013-12,10904,
2014-01,10604,
2014-02,10968,
2014-03,10986,
2014-04,11062,
2014-05,11149,
2014-06,11241,
2014-07,11200,
2014-08,11111,
2014-09,11146,
2014-10,10950,
2014-11,10090,
