"",BBK01.CEFA10,BBK01.CEFA10_FLAGS
"",short-term debt securities                                                  debtor: Non-financial corporations creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:01,
1999-01,6.0,
1999-04,6.3,
1999-07,8.1,
1999-10,8.0,
2000-01,9.4,
2000-04,12.1,
2000-07,13.8,
2000-10,14.2,
2001-01,18.0,
2001-04,17.2,
2001-07,22.0,
2001-10,20.6,
2002-01,17.1,
2002-04,15.9,
2002-07,19.4,
2002-10,19.8,
2003-01,27.3,
2003-04,28.3,
2003-07,27.1,
2003-10,31.3,
2004-01,31.1,
2004-04,33.6,
2004-07,26.5,
2004-10,24.0,
2005-01,28.7,
2005-04,26.8,
2005-07,22.1,
2005-10,17.1,
2006-01,23.3,
2006-04,26.4,
2006-07,21.9,
2006-10,17.9,
2007-01,23.9,
2007-04,28.4,
2007-07,28.2,
2007-10,36.5,
2008-01,46.0,
2008-04,39.5,
2008-07,39.9,
2008-10,40.2,
2009-01,26.7,
2009-04,18.4,
2009-07,16.1,
2009-10,13.5,
2010-01,13.6,
2010-04,14.4,
2010-07,11.6,
2010-10,13.1,
2011-01,14.1,
2011-04,10.9,
2011-07,16.4,
2011-10,16.1,
2012-01,12.7,
2012-04,16.4,
2012-07,15.7,
2012-10,14.6,
2013-01,19.8,
2013-04,18.8,
2013-07,17.6,
2013-10,13.4,
2014-01,10.7,
2014-04,4.4,
2014-07,2.7,
