"",BBK01.OEAB08U,BBK01.OEAB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:52,
2002-01,19.690,
2002-04,19.826,
2002-07,19.871,
2002-10,20.268,
2003-01,20.141,
2003-04,20.195,
2003-07,20.223,
2003-10,20.349,
2004-01,20.248,
2004-04,19.793,
2004-07,19.905,
2004-10,20.059,
2005-01,20.454,
2005-04,20.336,
2005-07,20.398,
2005-10,20.430,
2006-01,20.386,
2006-04,20.470,
2006-07,20.631,
2006-10,20.623,
2007-01,20.512,
2007-04,20.566,
2007-07,20.522,
2007-10,20.891,
2008-01,20.521,
2008-04,20.506,
2008-07,20.595,
2008-10,20.742,
2009-01,20.588,
2009-04,21.543,
2009-07,21.734,
2009-10,21.800,
2010-01,21.797,
2010-04,21.904,
2010-07,22.109,
2010-10,22.184,
2011-01,22.225,
2011-04,22.428,
2011-07,22.511,
2011-10,22.542,
2012-01,22.594,
2012-04,23.092,
2012-07,23.243,
2012-10,23.345,
2013-01,23.946,
2013-04,24.276,
2013-07,24.652,
2013-10,24.995,
2014-01,25.270,
2014-04,25.554,
2014-07,25.487,
