"",BBDE1.M.DE.Y.AEN1.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEN1.A2P300000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:59,
2010-01,90.5,
2010-02,92.1,
2010-03,98.1,
2010-04,98.9,
2010-05,99.6,
2010-06,101.3,
2010-07,101.1,
2010-08,101.3,
2010-09,101.7,
2010-10,103.1,
2010-11,103.7,
2010-12,103.0,
2011-01,107.1,
2011-02,108.5,
2011-03,106.8,
2011-04,107.4,
2011-05,106.0,
2011-06,105.5,
2011-07,108.8,
2011-08,107.0,
2011-09,104.9,
2011-10,104.5,
2011-11,103.7,
2011-12,102.8,
2012-01,103.9,
2012-02,102.9,
2012-03,103.5,
2012-04,103.9,
2012-05,103.3,
2012-06,101.6,
2012-07,101.4,
2012-08,99.6,
2012-09,98.9,
2012-10,99.2,
2012-11,98.7,
2012-12,99.0,
2013-01,100.0,
2013-02,99.7,
2013-03,101.9,
2013-04,100.5,
2013-05,99.0,
2013-06,102.6,
2013-07,102.6,
2013-08,103.8,
2013-09,102.9,
2013-10,102.8,
2013-11,105.0,
2013-12,103.1,
2014-01,104.9,
2014-02,105.6,
2014-03,105.3,
2014-04,106.3,
2014-05,102.8,
2014-06,103.1,
2014-07,104.4,
2014-08,102.1,
2014-09,100.8,
2014-10,104.6,
2014-11,101.5,
2014-12,105.5,Provisional value
