"",BBK01.RJ2067,BBK01.RJ2067_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:25:43,
1989,-,Nothing exists
1990,-,Nothing exists
1991,-,Nothing exists
1992,-,Nothing exists
1993,-,Nothing exists
1994,-,Nothing exists
1995,-,Nothing exists
1996,-,Nothing exists
1997,.,No value available
1998,.,No value available
1999,.,No value available
2000,2,
2001,5,
2002,26,
2003,50,
2004,72,
2005,17,
2006,33,
2007,425,
2008,837,
2009,841,
2010,861,
2011,839,
2012,838,
