"",BBK01.OEAF02U,BBK01.OEAF02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:16,
2002-01,7.430,
2002-04,7.494,
2002-07,7.564,
2002-10,7.885,
2003-01,7.924,
2003-04,8.062,
2003-07,8.196,
2003-10,8.261,
2004-01,8.285,
2004-04,8.277,
2004-07,8.347,
2004-10,8.419,
2005-01,8.782,
2005-04,8.740,
2005-07,8.997,
2005-10,8.919,
2006-01,8.881,
2006-04,8.966,
2006-07,9.040,
2006-10,9.025,
2007-01,8.899,
2007-04,8.871,
2007-07,8.793,
2007-10,8.822,
2008-01,8.462,
2008-04,8.349,
2008-07,8.311,
2008-10,8.250,
2009-01,8.164,
2009-04,8.579,
2009-07,8.724,
2009-10,8.676,
2010-01,8.626,
2010-04,8.645,
2010-07,8.641,
2010-10,8.591,
2011-01,8.565,
2011-04,8.576,
2011-07,8.634,
2011-10,8.615,
2012-01,8.596,
2012-04,8.693,
2012-07,8.777,
2012-10,8.791,
2013-01,8.745,
2013-04,8.838,
2013-07,8.989,
2013-10,9.053,
2014-01,9.094,
2014-04,9.132,
2014-07,9.275,
