"",BBEX3.A.GMD.USD.CA.AA.A04,BBEX3.A.GMD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Gambia / USD 1 = GMD ... (buying),
unit,GMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:08,
1986,7.01,
1987,7.04,
1988,6.65,
1989,7.55,
1990,7.69,
1991,8.58,
1992,8.69,
1993,8.83,
1994,9.31,
1995,9.27,
1996,9.59,
1997,9.91,
1998,10.29,
1999,10.91,
2000,12.23,
2001,15.19,
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,.,No value available
"","General: From April 2002 to December 2012, only mid-market rates were reported.",
"","Source: Standard Chartered Bank Gambia Ltd., Banjul.",
"",Methodology: Calculated on the basis of month-end rates.,
