"",BBFN1.M.DE.N.1.L.MX.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MX.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:42,
1994-12,0.280,
1995-01,0.302,
1995-02,0.295,
1995-03,0.291,
1995-04,0.311,
1995-05,0.297,
1995-06,0.327,
1995-07,0.300,
1995-08,0.309,
1995-09,0.256,
1995-10,0.261,
1995-11,0.264,
1995-12,0.287,
1996-01,0.300,
1996-02,0.299,
1996-03,0.300,
1996-04,0.303,
1996-05,0.307,
1996-06,0.188,
1996-07,0.182,
1996-08,0.186,
1996-09,0.216,
1996-10,0.202,
1996-11,0.218,
1996-12,0.245,
1997-01,0.268,
1997-02,0.279,
1997-03,0.307,
1997-04,0.322,
1997-05,0.335,
1997-06,0.271,
1997-07,0.286,
1997-08,0.319,
1997-09,0.328,
1997-10,0.330,
1997-11,0.330,
1997-12,0.319,
1998-01,0.329,
1998-02,0.340,
1998-03,0.348,
1998-04,0.357,
1998-05,0.380,
1998-06,0.350,
1998-07,0.424,
1998-08,0.451,
1998-09,0.491,
1998-10,0.462,
1998-11,0.463,
1998-12,0.492,
1999-01,0.475,
1999-02,0.505,
1999-03,0.541,
1999-04,0.458,
1999-05,0.494,
1999-06,0.584,
1999-07,0.577,
1999-08,0.674,
1999-09,0.643,
1999-10,0.593,
1999-11,0.697,
1999-12,0.692,
2000-01,0.809,
2000-02,0.806,
2000-03,0.782,
2000-04,0.796,
2000-05,0.882,
2000-06,0.766,
2000-07,0.997,
2000-08,0.943,
2000-09,0.991,
2000-10,1.079,
2000-11,1.011,
2000-12,0.915,
2001-01,0.775,
2001-02,0.819,
2001-03,0.944,
2001-04,0.955,
2001-05,0.995,
2001-06,1.247,
2001-07,1.267,
2001-08,1.312,
2001-09,1.185,
2001-10,1.285,
2001-11,1.300,
2001-12,1.355,
2002-01,1.240,
2002-02,1.180,
2002-03,1.180,
2002-04,1.040,
2002-05,1.080,
2002-06,1.092,
2002-07,1.129,
2002-08,1.179,
2002-09,1.038,
2002-10,0.984,
2002-11,0.944,
2002-12,1.186,
2003-01,1.216,
2003-02,1.088,
2003-03,0.834,
2003-04,0.880,
2003-05,1.007,
2003-06,0.967,
2003-07,1.115,
2003-08,1.191,
2003-09,1.038,
2003-10,1.081,
2003-11,0.842,
2003-12,0.901,
2004-01,0.827,
2004-02,0.818,
2004-03,0.820,
2004-04,0.821,
2004-05,0.901,
2004-06,0.948,
2004-07,0.981,
2004-08,0.979,
2004-09,0.965,
2004-10,0.851,
2004-11,0.645,
2004-12,0.737,
2005-01,0.844,
2005-02,0.853,
2005-03,0.716,
2005-04,0.828,
2005-05,0.886,
2005-06,0.711,
2005-07,0.632,
2005-08,0.764,
2005-09,0.759,
2005-10,0.692,
2005-11,0.800,
2005-12,0.761,
2006-01,0.703,
2006-02,0.758,
2006-03,0.703,
2006-04,0.659,
2006-05,0.661,
2006-06,0.769,
2006-07,0.741,
2006-08,0.836,
2006-09,0.850,
2006-10,0.794,
2006-11,0.824,
2006-12,0.946,
2007-01,0.803,
2007-02,0.831,
2007-03,0.854,
2007-04,0.854,
2007-05,0.785,
2007-06,0.801,
2007-07,0.837,
2007-08,0.828,
2007-09,0.838,
2007-10,0.792,
2007-11,0.842,
2007-12,0.931,
2008-01,0.838,
2008-02,0.787,
2008-03,0.752,
2008-04,0.776,
2008-05,0.814,
2008-06,0.768,
2008-07,0.892,
2008-08,0.894,
2008-09,0.938,
2008-10,1.270,
2008-11,1.285,
2008-12,1.053,
2009-01,0.737,
2009-02,0.821,
2009-03,0.861,
2009-04,0.778,
2009-05,0.833,
2009-06,0.799,
2009-07,0.738,
2009-08,0.785,
2009-09,0.957,
2009-10,0.843,
2009-11,0.805,
2009-12,1.040,
2010-01,1.114,
2010-02,0.944,
2010-03,1.027,
2010-04,0.965,
2010-05,0.942,
2010-06,1.080,
2010-07,0.873,
2010-08,0.840,
2010-09,0.884,
2010-10,0.873,
2010-11,0.923,
2010-12,0.936,
2011-01,0.895,
2011-02,0.901,
2011-03,0.959,
2011-04,0.910,
2011-05,0.869,
2011-06,0.826,
2011-07,0.859,
2011-08,0.870,
2011-09,0.902,
2011-10,0.994,
2011-11,1.072,
2011-12,1.080,
2012-01,1.048,
2012-02,1.264,
2012-03,1.188,
2012-04,1.134,
2012-05,1.088,
2012-06,1.155,
2012-07,1.146,
2012-08,1.225,
2012-09,1.239,
2012-10,1.198,
2012-11,1.302,
2012-12,1.304,
2013-01,1.420,
2013-02,1.461,
2013-03,1.483,
2013-04,1.212,
2013-05,1.286,
2013-06,1.263,
2013-07,1.273,
2013-08,1.319,
2013-09,1.256,
2013-10,1.266,
2013-11,1.281,
2013-12,1.407,
2014-01,1.369,
2014-02,1.424,
2014-03,1.439,
2014-04,1.345,
2014-05,1.377,
2014-06,1.501,
2014-07,1.464,
2014-08,1.554,
2014-09,1.601,
2014-10,1.742,
2014-11,1.778,
2014-12,1.724,
