"",BBK01.OEAA03K,BBK01.OEAA03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:54,
2002-01,23.571,
2002-04,22.918,
2002-07,21.862,
2002-10,22.046,
2003-01,20.391,
2003-04,20.898,
2003-07,20.345,
2003-10,22.202,
2004-01,21.192,
2004-04,19.980,
2004-07,18.986,
2004-10,18.459,
2005-01,16.998,
2005-04,16.520,
2005-07,16.161,
2005-10,17.106,
2006-01,16.456,
2006-04,17.526,
2006-07,18.703,
2006-10,18.725,
2007-01,17.997,
2007-04,18.020,
2007-07,19.738,
2007-10,19.624,
2008-01,22.777,
2008-04,21.512,
2008-07,21.772,
2008-10,22.246,
2009-01,22.924,
2009-04,21.618,
2009-07,20.918,
2009-10,20.700,
2010-01,21.323,
2010-04,23.105,
2010-07,22.675,
2010-10,21.774,
2011-01,21.053,
2011-04,20.776,
2011-07,22.172,
2011-10,21.594,
2012-01,21.732,
2012-04,22.688,
2012-07,22.246,
2012-10,20.555,
2013-01,20.852,
2013-04,21.599,
2013-07,21.353,
2013-10,20.525,
2014-01,20.420,
2014-04,21.561,
2014-07,20.536,
