"",BBK01.OEAI05M,BBK01.OEAI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:32,
2002-01,47.099,
2002-04,46.721,
2002-07,46.838,
2002-10,48.858,
2003-01,50.412,
2003-04,50.649,
2003-07,52.003,
2003-10,49.897,
2004-01,51.280,
2004-04,54.330,
2004-07,55.719,
2004-10,57.482,
2005-01,59.631,
2005-04,61.135,
2005-07,62.044,
2005-10,62.136,
2006-01,62.367,
2006-04,61.701,
2006-07,62.104,
2006-10,63.129,
2007-01,62.838,
2007-04,63.266,
2007-07,63.081,
2007-10,62.926,
2008-01,62.908,
2008-04,63.320,
2008-07,63.050,
2008-10,65.477,
2009-01,66.131,
2009-04,62.249,
2009-07,62.022,
2009-10,62.342,
2010-01,62.125,
2010-04,61.637,
2010-07,60.995,
2010-10,62.381,
2011-01,62.269,
2011-04,61.793,
2011-07,61.745,
2011-10,62.255,
2012-01,61.499,
2012-04,62.611,
2012-07,62.074,
2012-10,62.792,
2013-01,61.932,
2013-04,63.308,
2013-07,62.278,
2013-10,61.150,
2014-01,60.523,
2014-04,62.058,
2014-07,60.945,
