"",BBK01.OUP315,BBK01.OUP315_FLAGS
"",Time deposits of social security funds / for more than one year up to and including two years / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:26:42,
1999-01,0.007,
1999-02,0.001,
1999-03,0.001,
1999-04,0.001,
1999-05,0.006,
1999-06,0.006,
1999-07,0.006,
1999-08,0.006,
1999-09,0.009,
1999-10,0.009,
1999-11,0.010,
1999-12,0.010,
2000-01,0.010,
2000-02,0.010,
2000-03,0.015,
2000-04,0.015,
2000-05,0.010,
2000-06,0.010,
2000-07,0.012,
2000-08,0.012,
2000-09,0.009,
2000-10,0.009,
2000-11,0.018,
2000-12,0.102,
2001-01,0.108,
2001-02,0.107,
2001-03,0.102,
2001-04,0.102,
2001-05,0.102,
2001-06,0.020,
2001-07,0.020,
2001-08,0.020,
2001-09,0.020,
2001-10,0.020,
2001-11,0.040,
2001-12,0.067,
2002-01,0.034,
2002-02,0.033,
2002-03,0.033,
2002-04,0.034,
2002-05,0.044,
2002-06,0.044,
2002-07,0.042,
2002-08,0.042,
2002-09,0.042,
2002-10,0.042,
2002-11,0.011,
2002-12,0.011,
2003-01,0.011,
2003-02,0.011,
2003-03,0.011,
2003-04,-,Nothing exists
2003-05,-,Nothing exists
2003-06,0.005,
2003-07,-,Nothing exists
2003-08,-,Nothing exists
2003-09,-,Nothing exists
2003-10,0.001,
2003-11,0.001,
2003-12,0.041,
2004-01,0.042,
2004-02,0.042,
2004-03,0.042,
2004-04,0.042,
2004-05,0.042,
2004-06,0.042,
2004-07,0.043,
2004-08,0.043,
2004-09,0.043,
2004-10,0.042,
2004-11,0.046,
2004-12,0.012,
2005-01,0.012,
2005-02,0.010,
2005-03,0.008,
2005-04,0.009,
2005-05,0.014,
2005-06,0.029,
2005-07,0.028,
2005-08,0.026,
2005-09,0.026,
2005-10,0.026,
2005-11,0.026,
2005-12,0.021,
2006-01,0.016,
2006-02,0.025,
2006-03,0.017,
2006-04,0.015,
2006-05,0.017,
2006-06,0.020,
2006-07,0.018,
2006-08,0.010,
2006-09,0.032,
2006-10,0.032,
2006-11,0.026,
2006-12,0.035,
2007-01,0.079,
2007-02,0.084,
2007-03,0.082,
2007-04,0.099,
2007-05,0.094,
2007-06,0.172,
2007-07,0.162,
2007-08,0.172,
2007-09,0.177,
2007-10,0.180,
2007-11,0.232,
2007-12,0.232,
2008-01,0.231,
2008-02,0.239,
2008-03,0.184,
2008-04,0.170,
2008-05,0.173,
2008-06,0.175,
2008-07,0.154,
2008-08,0.155,
2008-09,0.144,
2008-10,0.142,
2008-11,0.086,
2008-12,0.093,
2009-01,0.072,
2009-02,0.084,
2009-03,0.104,
2009-04,0.076,
2009-05,0.090,
2009-06,0.092,
2009-07,0.120,
2009-08,0.138,
2009-09,0.143,
2009-10,0.153,
2009-11,0.159,
2009-12,0.138,
2010-01,0.146,
2010-02,0.153,
2010-03,0.150,
2010-04,0.150,
2010-05,0.131,
2010-06,0.129,
2010-07,0.140,
2010-08,0.137,
2010-09,0.209,
2010-10,0.234,
2010-11,0.218,
2010-12,0.224,
2011-01,0.211,
2011-02,0.216,
2011-03,0.242,
2011-04,0.246,
2011-05,0.251,
2011-06,0.319,
2011-07,0.419,
2011-08,0.398,
2011-09,0.409,
2011-10,0.418,
2011-11,0.524,
2011-12,0.558,
2012-01,0.590,
2012-02,0.634,
2012-03,0.639,
2012-04,0.652,
2012-05,0.731,
2012-06,0.766,
2012-07,0.756,
2012-08,0.701,
2012-09,0.808,
2012-10,0.882,
2012-11,0.826,
2012-12,0.861,
2013-01,0.861,
2013-02,0.871,
2013-03,0.842,
2013-04,0.612,
2013-05,0.603,
2013-06,0.560,
2013-07,0.564,
2013-08,0.633,
2013-09,0.652,
2013-10,0.685,
2013-11,0.695,
2013-12,0.803,
2014-01,0.799,
2014-02,0.796,
2014-03,0.822,
2014-04,0.823,
2014-05,0.831,
2014-06,0.878,
2014-07,0.818,
2014-08,0.879,
2014-09,0.735,
2014-10,0.727,
2014-11,0.781,
2014-12,1.133,Provisional value
