"",BBEX3.M.DZD.USD.CA.AA.A01,BBEX3.M.DZD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Algeria / USD 1 = DZD ... (buying),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:07,
1975-01,3.9225,
1975-02,3.8000,
1975-03,3.8500,
1975-04,3.8675,
1975-05,3.8290,
1975-06,3.8430,
1975-07,4.0425,
1975-08,4.0645,
1975-09,4.1400,
1975-10,4.0550,
1975-11,4.1100,
1975-12,4.1175,
1976-01,4.1200,
1976-02,4.1300,
1976-03,4.1300,
1976-04,4.1270,
1976-05,4.1580,
1976-06,4.1560,
1976-07,4.1905,
1976-08,4.1870,
1976-09,4.1610,
1976-10,4.1755,
1976-11,4.1710,
1976-12,4.1510,
1977-01,4.1730,
1977-02,4.1720,
1977-03,4.1660,
1977-04,4.1550,
1977-05,4.1520,
1977-06,4.1410,
1977-07,4.1245,
1977-08,4.1430,
1977-09,4.1440,
1977-10,4.1140,
1977-11,4.1075,
1977-12,4.0275,
1978-01,4.0365,
1978-02,4.0230,
1978-03,3.9800,
1978-04,4.0015,
1978-05,4.0145,
1978-06,3.9800,
1978-07,3.9275,
1978-08,3.9055,
1978-09,3.8850,
1978-10,3.7485,
1978-11,3.9300,
1978-12,3.8290,
1979-01,3.8720,
1979-02,3.8625,
1979-03,3.8730,
1979-04,3.9025,
1979-05,3.9175,
1979-06,3.8550,
1979-07,3.8400,
1979-08,3.8350,
1979-09,3.7940,
1979-10,3.8400,
1979-11,3.7775,
1979-12,3.7480,
1980-01,3.7435,
1980-02,3.7940,
1980-03,3.9520,
1980-04,3.8230,
1980-05,3.8010,
1980-06,3.7700,
1980-07,3.7820,
1980-08,3.8035,
1980-09,3.8185,
1980-10,3.9015,
1980-11,3.9355,
1980-12,3.9640,
1981-01,4.1060,
1981-02,4.1585,
1981-03,4.1370,
1981-04,4.2470,
1981-05,4.3440,
1981-06,4.4055,
1981-07,4.4595,
1981-08,4.4425,
1981-09,4.3700,
1981-10,4.3690,
1981-11,4.3210,
1981-12,4.3705,
1982-01,4.4200,
1982-02,4.4905,
1982-03,4.5325,
1982-04,4.4870,
1982-05,4.4945,
1982-06,4.6365,
1982-07,4.6340,
1982-08,4.6700,
1982-09,4.6975,
1982-10,4.7305,
1982-11,4.6875,
1982-12,4.6280,
1983-01,4.6725,
1983-02,4.6595,
1983-03,4.7150,
1983-04,4.7300,
1983-05,4.7635,
1983-06,4.7840,
1983-07,4.8430,
1983-08,4.8810,
1983-09,4.8505,
1983-10,4.8485,
1983-11,4.8859,
1983-12,4.9090,
1984-01,4.9549,
1984-02,4.8477,
1984-03,4.8424,
1984-04,4.9106,
1984-05,4.9210,
1984-06,4.9498,
1984-07,5.0081,
1984-08,5.0019,
1984-09,5.0681,
1984-10,5.0716,
1984-11,5.0995,
1984-12,5.1152,
1985-01,5.1328,
1985-02,5.1997,
1985-03,5.0966,
1985-04,5.0974,
1985-05,5.0946,
1985-06,5.0780,
1985-07,4.9463,
1985-08,4.9481,
1985-09,4.8901,
1985-10,4.8560,
1985-11,4.7946,
