"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:07,
2009-09,493,
2009-10,449,
2009-11,450,
2009-12,484,
2010-01,467,
2010-02,449,
2010-03,512,
2010-04,563,
2010-05,485,
2010-06,491,
2010-07,495,
2010-08,427,
2010-09,423,
2010-10,429,
2010-11,433,
2010-12,471,
2011-01,464,
2011-02,499,
2011-03,482,
2011-04,494,
2011-05,487,
2011-06,476,
2011-07,452,
2011-08,417,
2011-09,411,
2011-10,457,
2011-11,447,
2011-12,468,
2012-01,497,
2012-02,517,
2012-03,519,
2012-04,537,
2012-05,532,
2012-06,567,
2012-07,580,
2012-08,573,
2012-09,614,
2012-10,596,
2012-11,613,
2012-12,650,
2013-01,707,
2013-02,782,
2013-03,838,
2013-04,811,
2013-05,856,
2013-06,842,
2013-07,904,
2013-08,931,
2013-09,948,
2013-10,974,
2013-11,1148,
2013-12,1166,
2014-01,1160,
2014-02,1259,
2014-03,1212,
2014-04,1190,
2014-05,1206,
2014-06,1205,
2014-07,1206,
2014-08,1252,
2014-09,1074,
2014-10,1092,
2014-11,1225,
