"",BBK01.OEHL07H,BBK01.OEHL07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:08,
2002-01,48.847,
2002-04,48.412,
2002-07,48.147,
2002-10,49.535,
2003-01,49.431,
2003-04,49.074,
2003-07,48.899,
2003-10,50.100,
2004-01,49.925,
2004-04,49.621,
2004-07,49.505,
2004-10,50.640,
2005-01,50.499,
2005-04,50.079,
2005-07,49.748,
2005-10,50.563,
2006-01,50.191,
2006-04,49.711,
2006-07,49.066,
2006-10,49.140,
2007-01,47.661,
2007-04,46.400,
2007-07,45.278,
2007-10,45.096,
2008-01,43.531,
2008-04,42.052,
2008-07,40.551,
2008-10,40.464,
2009-01,41.460,
2009-04,42.735,
2009-07,43.710,
2009-10,45.519,
2010-01,46.626,
2010-04,47.156,
2010-07,47.609,
2010-10,48.530,
2011-01,48.860,
2011-04,48.787,
2011-07,48.403,
2011-10,48.592,
2012-01,48.319,
2012-04,48.147,
2012-07,48.149,
2012-10,48.591,
2013-01,48.556,
2013-04,48.087,
2013-07,47.446,
2013-10,47.748,
2014-01,47.459,
2014-04,47.098,
2014-07,46.648,
