"",BBDE1.M.DE.Y.AEP5.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEP5.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At current prices, flows / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:11,
2010-01,85.5,
2010-02,88.3,
2010-03,89.6,
2010-04,95.9,
2010-05,98.8,
2010-06,98.8,
2010-07,101.7,
2010-08,104.9,
2010-09,104.8,
2010-10,105.3,
2010-11,112.6,
2010-12,108.9,
2011-01,116.7,
2011-02,109.7,
2011-03,108.8,
2011-04,103.3,
2011-05,108.1,
2011-06,109.7,
2011-07,109.7,
2011-08,109.6,
2011-09,111.7,
2011-10,111.5,
2011-11,110.3,
2011-12,109.5,
2012-01,112.7,
2012-02,117.3,
2012-03,118.5,
2012-04,120.5,
2012-05,121.9,
2012-06,118.2,
2012-07,122.2,
2012-08,119.6,
2012-09,121.5,
2012-10,123.9,
2012-11,123.4,
2012-12,123.7,
2013-01,121.1,
2013-02,125.2,
2013-03,124.3,
2013-04,125.7,
2013-05,125.2,
2013-06,124.5,
2013-07,121.9,
2013-08,126.3,
2013-09,127.7,
2013-10,127.6,
2013-11,127.0,
2013-12,129.9,
2014-01,133.4,
2014-02,129.4,
2014-03,129.2,
2014-04,127.4,
2014-05,125.1,
2014-06,129.7,
2014-07,131.3,
2014-08,123.9,
2014-09,130.7,
2014-10,138.2,
2014-11,137.1,
2014-12,139.0,Provisional value
