"",BBK01.OEAC33H,BBK01.OEAC33H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:06,
2002-01,0.524,
2002-04,0.612,
2002-07,0.658,
2002-10,0.473,
2003-01,0.517,
2003-04,0.616,
2003-07,0.612,
2003-10,0.614,
2004-01,0.606,
2004-04,0.662,
2004-07,0.662,
2004-10,0.471,
2005-01,0.437,
2005-04,0.396,
2005-07,0.387,
2005-10,0.402,
2006-01,0.429,
2006-04,0.489,
2006-07,0.489,
2006-10,0.464,
2007-01,0.443,
2007-04,0.422,
2007-07,0.388,
2007-10,0.323,
2008-01,0.315,
2008-04,0.216,
2008-07,0.204,
2008-10,0.318,
2009-01,0.362,
2009-04,0.499,
2009-07,0.498,
2009-10,0.683,
2010-01,0.679,
2010-04,0.633,
2010-07,0.711,
2010-10,0.753,
2011-01,0.717,
2011-04,0.799,
2011-07,0.860,
2011-10,0.927,
2012-01,0.963,
2012-04,1.040,
2012-07,1.231,
2012-10,1.239,
2013-01,1.129,
2013-04,1.118,
2013-07,1.138,
2013-10,1.073,
2014-01,1.050,
2014-04,0.928,
2014-07,0.989,
