"",BBK01.OEAJ02U,BBK01.OEAJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:09,
2002-01,1.472,
2002-04,1.506,
2002-07,1.642,
2002-10,1.816,
2003-01,1.595,
2003-04,1.667,
2003-07,1.729,
2003-10,1.870,
2004-01,1.761,
2004-04,1.796,
2004-07,1.911,
2004-10,2.025,
2005-01,1.930,
2005-04,1.980,
2005-07,2.023,
2005-10,2.265,
2006-01,2.027,
2006-04,1.977,
2006-07,2.086,
2006-10,2.304,
2007-01,2.047,
2007-04,2.050,
2007-07,2.085,
2007-10,2.338,
2008-01,2.136,
2008-04,2.024,
2008-07,2.144,
2008-10,2.442,
2009-01,2.554,
2009-04,2.790,
2009-07,3.318,
2009-10,3.595,
2010-01,3.517,
2010-04,3.510,
2010-07,3.714,
2010-10,3.849,
2011-01,3.691,
2011-04,3.712,
2011-07,3.978,
2011-10,4.085,
2012-01,3.705,
2012-04,3.601,
2012-07,3.631,
2012-10,3.879,
2013-01,3.632,
2013-04,3.734,
2013-07,3.947,
2013-10,4.191,
2014-01,3.951,
2014-04,3.898,
2014-07,4.303,
