"",BBK01.OEAE26V,BBK01.OEAE26V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:43,
2002-01,0.083,
2002-04,0.072,
2002-07,0.092,
2002-10,0.084,
2003-01,0.078,
2003-04,0.078,
2003-07,0.076,
2003-10,0.081,
2004-01,0.088,
2004-04,0.077,
2004-07,0.087,
2004-10,0.082,
2005-01,0.075,
2005-04,0.089,
2005-07,0.081,
2005-10,0.080,
2006-01,0.075,
2006-04,0.075,
2006-07,0.076,
2006-10,0.077,
2007-01,0.074,
2007-04,0.076,
2007-07,0.076,
2007-10,0.074,
2008-01,0.063,
2008-04,0.063,
2008-07,0.076,
2008-10,0.088,
2009-01,0.079,
2009-04,0.015,
2009-07,0.075,
2009-10,0.012,
2010-01,0.012,
2010-04,0.019,
2010-07,0.020,
2010-10,0.019,
2011-01,0.018,
2011-04,0.020,
2011-07,0.025,
2011-10,0.025,
2012-01,0.024,
2012-04,0.066,
2012-07,0.029,
2012-10,0.027,
2013-01,0.023,
2013-04,0.024,
2013-07,0.020,
2013-10,0.019,
2014-01,0.019,
2014-04,0.020,
2014-07,0.020,
