"",BBK01.OEAF23T,BBK01.OEAF23T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:10,
2002-01,0.104,
2002-04,0.105,
2002-07,0.099,
2002-10,0.099,
2003-01,0.095,
2003-04,0.104,
2003-07,0.102,
2003-10,0.102,
2004-01,0.101,
2004-04,0.101,
2004-07,0.107,
2004-10,0.105,
2005-01,0.109,
2005-04,0.114,
2005-07,0.115,
2005-10,0.112,
2006-01,0.110,
2006-04,0.109,
2006-07,0.109,
2006-10,0.110,
2007-01,0.112,
2007-04,0.107,
2007-07,0.107,
2007-10,0.093,
2008-01,0.088,
2008-04,0.084,
2008-07,0.087,
2008-10,0.079,
2009-01,0.073,
2009-04,0.075,
2009-07,0.077,
2009-10,0.076,
2010-01,0.071,
2010-04,0.078,
2010-07,0.082,
2010-10,0.082,
2011-01,0.093,
2011-04,0.101,
2011-07,0.108,
2011-10,0.117,
2012-01,0.117,
2012-04,0.121,
2012-07,0.126,
2012-10,0.123,
2013-01,0.126,
2013-04,0.126,
2013-07,0.118,
2013-10,0.117,
2014-01,0.111,
2014-04,0.112,
2014-07,0.114,
