"",BBFN1.M.DE.N.1.L.AT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:11,
1975-12,0.043,
1976-01,0.039,
1976-02,0.042,
1976-03,0.044,
1976-04,0.043,
1976-05,0.044,
1976-06,0.042,
1976-07,0.044,
1976-08,0.043,
1976-09,0.041,
1976-10,0.045,
1976-11,0.052,
1976-12,0.047,
1977-01,0.045,
1977-02,0.045,
1977-03,0.046,
1977-04,0.041,
1977-05,0.048,
1977-06,0.039,
1977-07,0.046,
1977-08,0.034,
1977-09,0.029,
1977-10,0.042,
1977-11,0.040,
1977-12,0.045,
1978-01,0.039,
1978-02,0.056,
1978-03,0.057,
1978-04,0.052,
1978-05,0.050,
1978-06,0.064,
1978-07,0.064,
1978-08,0.087,
1978-09,0.087,
1978-10,0.099,
1978-11,0.110,
1978-12,0.090,
1979-01,0.110,
1979-02,0.108,
1979-03,0.112,
1979-04,0.087,
1979-05,0.112,
1979-06,0.143,
1979-07,0.153,
1979-08,0.140,
1979-09,0.160,
1979-10,0.168,
1979-11,0.147,
1979-12,0.139,
1980-01,0.167,
1980-02,0.194,
1980-03,0.234,
1980-04,0.274,
1980-05,0.313,
1980-06,0.302,
1980-07,0.290,
1980-08,0.304,
1980-09,0.335,
1980-10,0.333,
1980-11,0.313,
1980-12,0.203,
1981-01,0.321,
1981-02,0.280,
1981-03,0.243,
1981-04,0.269,
1981-05,0.269,
1981-06,0.307,
1981-07,0.321,
1981-08,0.321,
1981-09,0.400,
1981-10,0.375,
1981-11,0.366,
1981-12,0.313,
1982-01,0.345,
1982-02,0.437,
1982-03,0.403,
1982-04,0.421,
1982-05,0.460,
1982-06,0.441,
1982-07,0.468,
1982-08,0.451,
1982-09,0.473,
1982-10,0.469,
1982-11,0.555,
1982-12,0.429,
1983-01,0.464,
1983-02,0.527,
1983-03,0.542,
1983-04,0.523,
1983-05,0.528,
1983-06,0.490,
1983-07,0.527,
1983-08,0.557,
1983-09,0.537,
1983-10,0.534,
1983-11,0.548,
1983-12,0.552,
1984-01,0.556,
1984-02,0.580,
1984-03,0.577,
1984-04,0.569,
1984-05,0.564,
1984-06,0.594,
1984-07,0.552,
1984-08,0.593,
1984-09,0.608,
1984-10,0.607,
1984-11,0.653,
1984-12,0.618,
1985-01,0.576,
1985-02,0.528,
1985-03,0.542,
1985-04,0.559,
1985-05,0.554,
1985-06,0.515,
1985-07,0.493,
1985-08,0.524,
1985-09,0.504,
1985-10,0.507,
1985-11,0.522,
1985-12,0.445,
1986-01,0.484,
1986-02,0.460,
1986-03,0.445,
1986-04,0.415,
1986-05,0.398,
1986-06,0.415,
1986-07,0.410,
1986-08,0.407,
1986-09,0.367,
1986-10,0.366,
1986-11,0.352,
1986-12,0.325,
1987-01,0.312,
1987-02,0.285,
1987-03,0.278,
