"",BBK01.OEAL07N,BBK01.OEAL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:36,
2002-01,145.233,
2002-04,142.647,
2002-07,142.394,
2002-10,147.832,
2003-01,149.383,
2003-04,148.840,
2003-07,149.114,
2003-10,152.409,
2004-01,152.669,
2004-04,152.328,
2004-07,152.396,
2004-10,118.971,
2005-01,126.266,
2005-04,125.605,
2005-07,124.633,
2005-10,125.381,
2006-01,126.135,
2006-04,125.624,
2006-07,124.146,
2006-10,123.764,
2007-01,122.079,
2007-04,119.727,
2007-07,117.761,
2007-10,118.252,
2008-01,116.553,
2008-04,114.797,
2008-07,112.087,
2008-10,116.582,
2009-01,119.337,
2009-04,122.435,
2009-07,126.318,
2009-10,129.920,
2010-01,131.558,
2010-04,132.065,
2010-07,132.088,
2010-10,134.397,
2011-01,135.118,
2011-04,133.715,
2011-07,132.424,
2011-10,132.275,
2012-01,132.504,
2012-04,131.729,
2012-07,131.232,
2012-10,131.508,
2013-01,130.154,
2013-04,129.166,
2013-07,128.362,
2013-10,129.039,
2014-01,128.651,
2014-04,127.682,
2014-07,128.297,
