"",BBK01.OEBL08N,BBK01.OEBL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:00,
2002-01,35.075,
2002-04,33.397,
2002-07,33.448,
2002-10,36.920,
2003-01,38.605,
2003-04,39.055,
2003-07,40.530,
2003-10,42.752,
2004-01,43.485,
2004-04,43.674,
2004-07,44.725,
2004-10,10.404,
2005-01,17.739,
2005-04,17.752,
2005-07,17.381,
2005-10,17.118,
2006-01,16.850,
2006-04,16.474,
2006-07,15.954,
2006-10,15.850,
2007-01,15.893,
2007-04,15.771,
2007-07,15.562,
2007-10,15.931,
2008-01,15.897,
2008-04,16.055,
2008-07,15.555,
2008-10,15.755,
2009-01,16.145,
2009-04,16.914,
2009-07,18.302,
2009-10,19.568,
2010-01,19.738,
2010-04,19.394,
2010-07,19.332,
2010-10,19.432,
2011-01,19.090,
2011-04,18.122,
2011-07,17.722,
2011-10,17.739,
2012-01,19.161,
2012-04,18.903,
2012-07,19.028,
2012-10,19.395,
2013-01,18.590,
2013-04,18.378,
2013-07,18.186,
2013-10,18.400,
2014-01,18.134,
2014-04,17.815,
2014-07,17.888,
