"",BBK01.OEAO04U,BBK01.OEAO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:56,
2002-01,-0.095,
2002-04,-0.333,
2002-07,-0.029,
2002-10,0.091,
2003-01,0.058,
2003-04,-0.085,
2003-07,0.075,
2003-10,0.100,
2004-01,0.059,
2004-04,-0.022,
2004-07,0.047,
2004-10,0.102,
2005-01,0.058,
2005-04,-0.069,
2005-07,-0.080,
2005-10,-0.037,
2006-01,0.056,
2006-04,-0.124,
2006-07,-0.143,
2006-10,-0.140,
2007-01,-0.039,
2007-04,-0.135,
2007-07,-0.091,
2007-10,-0.019,
2008-01,-0.138,
2008-04,-0.168,
2008-07,-0.218,
2008-10,0.091,
2009-01,0.086,
2009-04,0.001,
2009-07,0.123,
2009-10,0.276,
2010-01,0.115,
2010-04,0.044,
2010-07,0.015,
2010-10,0.070,
2011-01,0.029,
2011-04,-0.098,
2011-07,-0.079,
2011-10,-0.047,
2012-01,0.076,
2012-04,-0.033,
2012-07,0.031,
2012-10,0.038,
2013-01,0.030,
2013-04,-0.086,
2013-07,-0.036,
2013-10,-0.032,
2014-01,-0.031,
2014-04,-0.088,
2014-07,0.060,
