"",BBEX3.M.LAK.EUR.CA.AA.A01,BBEX3.M.LAK.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Lao People?s Democratic Republic  / EUR 1 = LAK ... (buying),
unit,LAK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:43,
1999-01,4910.17,comment
1999-02,4791.35,comment
1999-03,5694.74,
1999-04,6951.13,
1999-05,8252.41,
1999-06,9501.40,
1999-07,9569.88,
1999-08,9512.44,
1999-09,7023.13,
1999-10,7922.63,
1999-11,7616.19,
1999-12,7431.60,
2000-01,7343.30,
2000-02,7115.85,
2000-03,7160.22,
2000-04,6885.30,
2000-05,6902.07,
2000-06,7179.72,
2000-07,7317.35,
2000-08,7024.06,
2000-09,6689.39,
2000-10,6642.87,
2000-11,6809.31,
2000-12,7415.17,
2001-01,7562.49,
2001-02,7361.63,
2001-03,7359.46,
2001-04,7501.66,
2001-05,7135.05,
2001-06,7252.43,
2001-07,7818.13,
2001-08,8118.62,
2001-09,8577.28,
2001-10,8390.73,
2001-11,8161.84,
2001-12,8313.68,
2002-01,8168.69,
2002-02,8100.65,
2002-03,8092.77,
2002-04,8133.84,
2002-05,8529.15,
2002-06,9426.35,
2002-07,10126.99,
2002-08,9984.82,
2002-09,10418.93,
2002-10,10455.12,
2002-11,10578.93,
2002-12,10884.44,
2003-01,11282.72,
2003-02,11338.88,
2003-03,11331.00,
2003-04,11801.00,
2003-05,12453.00,
2003-06,12071.00,
2003-07,12061.00,
2003-08,11429.00,
2003-09,12058.00,
2003-10,11834.05,
2003-11,12132.00,
2003-12,12638.00,
2004-01,12652.00,
2004-02,12578.00,
2004-03,12281.00,
2004-04,12023.00,
2004-05,12353.00,
2004-06,12758.00,
2004-07,12784.00,
2004-08,12797.00,
2004-09,13167.00,
2004-10,13432.00,
2004-11,13764.00,
2004-12,13783.00,
2005-01,13604.00,
2005-02,13072.00,
2005-03,13195.00,
2005-04,13371.00,
2005-05,13096.00,
2005-06,12859.00,
2005-07,12966.00,
2005-08,13092.00,
2005-09,12946.00,
2005-10,12783.00,
2005-11,12513.00,
2005-12,12637.00,
2006-01,12461.00,
2006-02,12301.00,
2006-03,12347.00,
2006-04,12292.00,
2006-05,12771.00,
2006-06,12575.00,
2006-07,12573.00,
2006-08,12550.00,
2006-09,12402.00,
2006-10,12251.00,
2006-11,12488.00,
2006-12,12221.00,
2007-01,12087.00,
2007-02,12271.00,
2007-03,12311.00,
2007-04,12561.00,
2007-05,12334.00,
2007-06,12383.00,
2007-07,12538.00,
2007-08,12705.00,
2007-09,12905.00,
2007-10,13037.00,
2007-11,13134.00,
2007-12,13254.00,
2008-01,13137.00,
2008-02,13546.00,
2008-03,13701.00,
2008-04,13544.00,
2008-05,13413.00,
2008-06,13685.00,
2008-07,13363.00,
2008-08,12685.00,
2008-09,12272.00,
2008-10,10969.00,
2008-11,11012.00,
2008-12,11888.00,
2009-01,10901.00,
2009-02,10746.00,
2009-03,11172.00,
2009-04,11366.00,
2009-05,11855.00,
2009-06,12001.00,
2009-07,11961.00,
2009-08,12151.00,
2009-09,12389.00,
2009-10,12553.00,
2009-11,12680.00,
2009-12,12124.00,
2010-01,11783.00,
2010-02,11484.00,
2010-03,11308.00,
2010-04,10932.00,
2010-05,10160.00,
2010-06,10011.00,
2010-07,10714.00,
2010-08,10315.00,
2010-09,11035.00,
2010-10,11075.00,
2010-11,10535.00,
2010-12,10698.00,
2011-01,10926.00,
2011-02,11023.00,
2011-03,11337.00,
2011-04,11863.00,
2011-05,11495.00,
2011-06,11560.00,
2011-07,11416.00,
2011-08,11506.00,
2011-09,10856.00,
2011-10,11308.00,
2011-11,10664.00,
2011-12,10347.00,
2012-01,10491.00,
2012-02,10711.00,
2012-03,10631.00,
2012-04,10535.00,
2012-05,9901.00,
2012-06,9952.00,
2012-07,9791.00,
2012-08,9999.00,
2012-09,10302.00,
2012-10,10338.00,
2012-11,10325.00,
2012-12,10529.00,
2013-01,10737.00,
2013-02,10340.00,
2013-03,9939.00,
2013-04,9985.00,
2013-05,9997.00,
2013-06,10077.00,
2013-07,10293.00,
2013-08,10348.00,
2013-09,10554.00,
2013-10,10810.00,
2013-11,10849.00,
2013-12,11002.00,
2014-01,10842.00,
2014-02,10975.00,
2014-03,11033.00,
2014-04,11079.00,
2014-05,10927.00,
2014-06,10934.00,
2014-07,10743.00,
2014-08,10564.00,
2014-09,10173.00,
2014-10,10105.00,
2014-11,9992.00,
2014-12,9790.00,
2015-01,9150.00,
2015-02,9049.00,
"",General: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"","Source: Banque pour le Commerce Exterieur Lao, Vientiane.",
"",Comment on 1999-01: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 1999-02: Euro exchange rates are available from the end of March 1999 onwards. The previously quoted rates were calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
