"",BBFB1.Q.N.DE.GR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:28,
1991-01,17.186,
1991-04,17.148,
1991-07,16.478,
1991-10,17.739,
1992-01,16.876,
1992-04,18.483,
1992-07,17.003,
1992-10,17.580,
1993-01,16.550,
1993-04,16.526,
1993-07,18.803,
1993-10,16.900,
1994-01,15.034,
1994-04,18.693,
1994-07,16.458,
1994-10,17.561,
1995-01,18.003,
1995-04,17.132,
1995-07,16.505,
1995-10,17.032,
1996-01,17.774,
1996-04,18.249,
1996-07,19.475,
1996-10,22.746,
1997-01,22.165,
1997-04,25.391,
1997-07,24.437,
1997-10,27.470,
1998-01,29.213,
1998-04,31.690,
1998-07,32.088,
1998-10,84.742,
1999-01,43.984,
1999-04,45.699,
1999-07,38.640,
1999-10,41.255,
2000-01,43.327,
2000-04,38.186,
2000-07,41.851,
2000-10,50.730,
2001-01,33.065,
2001-04,29.368,
2001-07,25.910,
2001-10,25.337,
2002-01,32.340,
2002-04,35.690,
2002-07,21.196,
2002-10,-5.708,
2003-01,8.199,
2003-04,37.452,
2003-07,27.566,
2003-10,25.310,
2004-01,26.932,
2004-04,26.741,
2004-07,28.554,
2004-10,31.856,
2005-01,30.944,
2005-04,34.865,
2005-07,37.012,
2005-10,41.433,
2006-01,37.121,
2006-04,35.821,
2006-07,34.326,
2006-10,34.332,
2007-01,41.409,
2007-04,49.675,
2007-07,49.774,
2007-10,50.071,
2008-01,40.994,
2008-04,43.972,
2008-07,36.874,
2008-10,29.015,
2009-01,24.678,
2009-04,23.304,
2009-07,22.999,
2009-10,23.627,
2010-01,23.526,
2010-04,17.696,
2010-07,13.832,
2010-10,13.067,
2011-01,18.882,
2011-04,22.554,
2011-07,77.038,
2011-10,77.000,
2012-01,79.223,
2012-04,81.827,
2012-07,36.303,
2012-10,44.526,
2013-01,44.373,
2013-04,45.050,
2013-07,41.216,
2013-10,42.292,
2014-01,44.112,Provisional value
2014-04,46.624,Provisional value
2014-07,42.994,Provisional value
