"",BBK01.OEAF31K,BBK01.OEAF31K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:08,
2002-01,39.366,
2002-04,39.539,
2002-07,40.893,
2002-10,40.510,
2003-01,39.461,
2003-04,35.174,
2003-07,35.810,
2003-10,35.639,
2004-01,37.464,
2004-04,38.597,
2004-07,39.000,
2004-10,40.003,
2005-01,39.923,
2005-04,40.116,
2005-07,40.145,
2005-10,40.095,
2006-01,39.655,
2006-04,39.388,
2006-07,38.962,
2006-10,38.667,
2007-01,37.194,
2007-04,36.751,
2007-07,35.637,
2007-10,34.960,
2008-01,34.423,
2008-04,34.086,
2008-07,33.645,
2008-10,33.174,
2009-01,32.566,
2009-04,33.540,
2009-07,33.441,
2009-10,32.785,
2010-01,32.390,
2010-04,32.008,
2010-07,31.857,
2010-10,31.812,
2011-01,31.163,
2011-04,30.937,
2011-07,30.795,
2011-10,30.741,
2012-01,30.454,
2012-04,30.235,
2012-07,29.958,
2012-10,29.714,
2013-01,29.457,
2013-04,29.293,
2013-07,28.682,
2013-10,28.337,
2014-01,28.174,
2014-04,28.089,
2014-07,28.025,
