"",BBK01.OECL08L,BBK01.OECL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:07,
2002-01,1.296,
2002-04,0.781,
2002-07,0.768,
2002-10,0.898,
2003-01,0.923,
2003-04,0.935,
2003-07,1.139,
2003-10,1.150,
2004-01,1.114,
2004-04,1.130,
2004-07,1.409,
2004-10,1.455,
2005-01,4.405,
2005-04,4.400,
2005-07,4.385,
2005-10,4.349,
2006-01,4.306,
2006-04,4.217,
2006-07,4.105,
2006-10,4.050,
2007-01,4.166,
2007-04,4.098,
2007-07,3.977,
2007-10,3.974,
2008-01,3.946,
2008-04,4.056,
2008-07,3.869,
2008-10,3.835,
2009-01,4.097,
2009-04,4.640,
2009-07,5.364,
2009-10,6.483,
2010-01,7.679,
2010-04,5.840,
2010-07,5.941,
2010-10,5.731,
2011-01,5.913,
2011-04,4.856,
2011-07,4.822,
2011-10,4.808,
2012-01,5.377,
2012-04,5.278,
2012-07,5.236,
2012-10,5.312,
2013-01,5.122,
2013-04,5.043,
2013-07,4.893,
2013-10,4.858,
2014-01,4.778,
2014-04,4.688,
2014-07,4.789,
