"",BBDE1.M.DE.W.AEB1.A2P350000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P350000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:10,
1991-01,148.2,
1991-02,158.6,
1991-03,179.8,
1991-04,136.7,
1991-05,124.7,
1991-06,132.1,
1991-07,123.4,
1991-08,145.9,
1991-09,168.0,
1991-10,151.7,
1991-11,140.8,
1991-12,116.3,
1992-01,149.5,
1992-02,162.5,
1992-03,171.6,
1992-04,135.7,
1992-05,124.1,
1992-06,128.7,
1992-07,124.1,
1992-08,146.7,
1992-09,165.4,
1992-10,146.3,
1992-11,135.7,
1992-12,121.4,
1993-01,145.1,
1993-02,146.0,
1993-03,166.5,
1993-04,128.1,
1993-05,118.9,
1993-06,121.9,
1993-07,125.2,
1993-08,146.5,
1993-09,161.7,
1993-10,139.0,
1993-11,133.0,
1993-12,114.4,
1994-01,134.7,
1994-02,147.9,
1994-03,161.1,
1994-04,130.0,
1994-05,116.9,
1994-06,117.5,
1994-07,123.0,
1994-08,140.5,
1994-09,154.7,
1994-10,139.9,
1994-11,130.9,
1994-12,110.3,
1995-01,132.5,
1995-02,143.9,
1995-03,155.6,
1995-04,126.8,
1995-05,118.4,
1995-06,118.9,
1995-07,121.9,
1995-08,134.8,
1995-09,153.7,
1995-10,135.7,
1995-11,126.8,
1995-12,108.2,
1996-01,129.4,
1996-02,136.9,
1996-03,150.6,
1996-04,121.8,
1996-05,114.2,
1996-06,114.3,
1996-07,114.3,
1996-08,130.8,
1996-09,147.4,
1996-10,129.5,
1996-11,120.6,
1996-12,106.8,
1997-01,124.2,
1997-02,141.3,
1997-03,150.6,
1997-04,117.7,
1997-05,112.1,
1997-06,115.9,
1997-07,116.8,
1997-08,131.9,
1997-09,141.4,
1997-10,128.8,
1997-11,120.4,
1997-12,106.1,
1998-01,122.2,
1998-02,139.4,
1998-03,149.2,
1998-04,118.6,
1998-05,114.8,
1998-06,115.4,
1998-07,118.4,
1998-08,128.7,
1998-09,140.3,
1998-10,122.5,
1998-11,117.5,
1998-12,104.9,
1999-01,119.8,
1999-02,131.7,
1999-03,140.2,
1999-04,112.7,
1999-05,106.0,
1999-06,110.4,
1999-07,113.6,
1999-08,126.4,
1999-09,137.1,
1999-10,123.4,
1999-11,121.9,
1999-12,101.9,
2000-01,112.3,
2000-02,130.3,
2000-03,135.3,
2000-04,112.8,
2000-05,108.7,
2000-06,109.7,
2000-07,115.2,
2000-08,127.6,
2000-09,137.4,
2000-10,120.1,
2000-11,116.9,
2000-12,102.4,
2001-01,120.2,
2001-02,133.7,
2001-03,136.2,
2001-04,113.6,
2001-05,109.8,
2001-06,111.9,
2001-07,117.1,
2001-08,128.3,
2001-09,130.8,
2001-10,119.0,
2001-11,115.9,
2001-12,101.9,
2002-01,117.7,
2002-02,125.8,
2002-03,133.6,
2002-04,112.0,
2002-05,105.4,
2002-06,105.4,
2002-07,110.8,
2002-08,119.6,
2002-09,126.5,
2002-10,121.2,
2002-11,112.4,
2002-12,96.5,
2003-01,113.0,
2003-02,120.0,
2003-03,122.7,
2003-04,106.5,
2003-05,100.3,
2003-06,103.0,
2003-07,110.3,
2003-08,115.2,
2003-09,121.6,
2003-10,116.1,
2003-11,109.1,
2003-12,100.1,
2004-01,108.2,
2004-02,115.4,
2004-03,121.1,
2004-04,103.4,
2004-05,97.8,
2004-06,99.3,
2004-07,108.2,
2004-08,111.9,
2004-09,114.5,
2004-10,110.7,
2004-11,106.5,
2004-12,93.9,
2005-01,110.0,
2005-02,119.2,
2005-03,123.8,
2005-04,105.2,
2005-05,103.6,
2005-06,105.2,
2005-07,115.0,
2005-08,116.2,
2005-09,116.4,
2005-10,117.7,
2005-11,114.3,
2005-12,97.8,
2006-01,111.2,
2006-02,125.7,
2006-03,122.5,
2006-04,109.5,
2006-05,109.3,
2006-06,104.6,
2006-07,117.3,
2006-08,120.1,
2006-09,122.0,
2006-10,124.0,
2006-11,121.7,
2006-12,105.2,
2007-01,116.3,
2007-02,127.9,
2007-03,130.8,
2007-04,114.9,
2007-05,113.4,
2007-06,114.2,
2007-07,123.8,
2007-08,122.2,
2007-09,126.5,
2007-10,123.9,
2007-11,123.9,
2007-12,104.1,
2008-01,119.6,
2008-02,126.3,
2008-03,127.3,
2008-04,111.3,
2008-05,108.9,
2008-06,112.8,
2008-07,118.1,
2008-08,121.2,
2008-09,123.5,
2008-10,118.5,
2008-11,115.3,
2008-12,98.4,
2009-01,101.2,
2009-02,100.2,
2009-03,101.9,
2009-04,90.3,
2009-05,91.6,
2009-06,92.2,
2009-07,98.8,
2009-08,99.6,
2009-09,110.6,
2009-10,101.9,
2009-11,100.6,
2009-12,89.1,
2010-01,100.0,
2010-02,100.8,
2010-03,106.8,
2010-04,92.3,
2010-05,94.2,
2010-06,95.8,
2010-07,103.0,
2010-08,101.2,
2010-09,106.9,
2010-10,104.0,
2010-11,103.3,
2010-12,86.3,
2011-01,99.3,
2011-02,108.3,
2011-03,107.8,
2011-04,97.6,
2011-05,98.8,
2011-06,99.0,
2011-07,110.0,
2011-08,105.9,
2011-09,113.8,
2011-10,109.3,
2011-11,105.2,
2011-12,87.0,
2012-01,99.4,
2012-02,106.8,
2012-03,108.4,
2012-04,94.0,
2012-05,95.1,
2012-06,94.5,
2012-07,102.6,
2012-08,101.3,
2012-09,102.9,
2012-10,104.5,
2012-11,98.7,
2012-12,81.8,
2013-01,98.7,
2013-02,105.9,
2013-03,106.5,
2013-04,95.5,
2013-05,95.2,
2013-06,96.9,
2013-07,104.8,
2013-08,101.4,
2013-09,105.1,
2013-10,105.5,
2013-11,104.5,
2013-12,84.5,
2014-01,104.9,
2014-02,109.7,
2014-03,111.0,
2014-04,100.0,
2014-05,96.9,
2014-06,100.3,
2014-07,107.9,
2014-08,103.8,
2014-09,105.0,
2014-10,106.7,
2014-11,103.0,
2014-12,89.7,Provisional value
