"",BBK01.OUL034,BBK01.OUL034_FLAGS
"",Deposits and borrowing from foreign non-banks / Total / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:27:01,
1958-12,0.009,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.012,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,0.013,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,0.013,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,0.016,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,0.018,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,0.020,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,0.022,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,0.023,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,0.026,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,0.028,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,0.034,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,0.036,
1965-01,0.037,
1965-02,0.037,
1965-03,0.038,
1965-04,0.039,
1965-05,0.040,
1965-06,0.040,
1965-07,0.039,
1965-08,0.041,
1965-09,0.042,
1965-10,0.042,
1965-11,0.041,
1965-12,0.042,
1966-01,0.043,
1966-02,0.043,
1966-03,0.044,
1966-04,0.044,
1966-05,0.044,
1966-06,0.044,
1966-07,0.045,
1966-08,0.046,
1966-09,0.045,
1966-10,0.046,
1966-11,0.046,
1966-12,0.047,
1967-01,0.048,
1967-02,0.047,
1967-03,0.048,
1967-04,0.048,
1967-05,0.049,
1967-06,0.049,
1967-07,0.049,
1967-08,0.050,
1967-09,0.050,
1967-10,0.050,
1967-11,0.050,
1967-12,0.051,
1968-01,0.052,
1968-02,0.053,
1968-03,0.054,
1968-04,0.054,
1968-05,0.056,
1968-06,0.056,
1968-07,0.057,
1968-08,0.057,
1968-09,0.058,
1968-10,0.059,
1968-11,0.061,
1968-12,0.063,
1969-01,0.062,
1969-02,0.062,
1969-03,0.062,
1969-04,0.064,
1969-05,0.065,
1969-06,0.065,
1969-07,0.065,
1969-08,0.066,
1969-09,0.067,
1969-10,0.066,
1969-11,0.064,
1969-12,0.067,
1970-01,0.066,
1970-02,0.067,
1970-03,0.070,
1970-04,0.070,
1970-05,0.069,
1970-06,0.070,
1970-07,0.070,
1970-08,0.070,
1970-09,0.073,
1970-10,0.073,
1970-11,0.074,
1970-12,0.078,
1971-01,0.078,
1971-02,0.080,
1971-03,0.081,
1971-04,0.083,
1971-05,0.086,
1971-06,0.086,
1971-07,0.085,
1971-08,0.085,
1971-09,0.085,
1971-10,0.086,
1971-11,0.086,
1971-12,0.090,
1972-01,0.092,
1972-02,0.092,
1972-03,0.093,
1972-04,0.094,
1972-05,0.094,
1972-06,0.097,
1972-07,0.097,
1972-08,0.097,
1972-09,0.097,
1972-10,0.098,
1972-11,0.099,
1972-12,0.102,
1973-01,0.102,
1973-02,0.102,
1973-03,0.102,
1973-04,0.101,
1973-05,0.102,
1973-06,0.101,
1973-07,0.101,
1973-08,0.101,
1973-09,0.100,
1973-10,0.100,
1973-11,0.100,
1973-12,0.105,
1974-01,0.104,
1974-02,0.105,
1974-03,0.105,
1974-04,0.107,
1974-05,0.106,
1974-06,0.107,
1974-07,0.109,
1974-08,0.110,
1974-09,0.110,
1974-10,0.111,
1974-11,0.112,
1974-12,0.121,
1975-01,0.122,
1975-02,0.124,
1975-03,0.126,
1975-04,0.128,
1975-05,0.132,
1975-06,0.132,
1975-07,0.133,
1975-08,0.136,
1975-09,0.143,
1975-10,0.144,
1975-11,0.145,
1975-12,0.153,
1976-01,0.153,
1976-02,0.155,
1976-03,0.159,
1976-04,0.163,
1976-05,0.166,
1976-06,0.169,
1976-07,0.173,
1976-08,0.176,
1976-09,0.180,
1976-10,0.184,
1976-11,0.189,
1976-12,0.197,
1977-01,0.203,
1977-02,0.208,
1977-03,0.208,
1977-04,0.213,
1977-05,0.216,
1977-06,0.220,
1977-07,0.221,
1977-08,0.225,
1977-09,0.227,
1977-10,0.236,
1977-11,0.247,
1977-12,0.263,
1978-01,0.257,
1978-02,0.258,
1978-03,0.257,
1978-04,0.260,
1978-05,0.261,
1978-06,0.267,
1978-07,0.273,
1978-08,0.280,
1978-09,0.284,
1978-10,0.302,
1978-11,0.308,
1978-12,0.329,
1979-01,0.330,
1979-02,0.331,
1979-03,0.334,
1979-04,0.333,
1979-05,0.338,
1979-06,0.346,
1979-07,0.370,
1979-08,0.363,
1979-09,0.378,
1979-10,0.384,
1979-11,0.380,
1979-12,0.416,
1980-01,0.413,
1980-02,0.427,
1980-03,0.432,
1980-04,0.440,
1980-05,0.432,
1980-06,0.449,
1980-07,0.461,
1980-08,0.473,
1980-09,0.487,
1980-10,0.499,
1980-11,0.509,
1980-12,0.492,
1981-01,0.493,
1981-02,0.498,
1981-03,0.504,
1981-04,0.515,
1981-05,0.525,
1981-06,0.530,
1981-07,0.544,
1981-08,0.554,
1981-09,0.568,
1981-10,0.591,
1981-11,0.616,
1981-12,0.658,
1982-01,0.666,
1982-02,0.677,
1982-03,0.697,
1982-04,0.708,
1982-05,0.722,
1982-06,0.757,
1982-07,0.758,
1982-08,0.779,
1982-09,0.785,
1982-10,0.798,
1982-11,0.811,
1982-12,0.858,
1983-01,0.861,
1983-02,0.878,
1983-03,0.889,
1983-04,0.910,
1983-05,0.922,
1983-06,0.940,
1983-07,0.950,
1983-08,0.960,
1983-09,0.968,
1983-10,0.996,
1983-11,1.030,
1983-12,1.082,
1984-01,1.101,
1984-02,1.113,
1984-03,1.128,
1984-04,1.155,
1984-05,1.168,
1984-06,1.197,
1984-07,1.199,
1984-08,1.201,
1984-09,1.205,
1984-10,1.224,
