"",BBK01.OEYK02O,BBK01.OEYK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:55,
2002-01,0.030,
2002-04,0.024,
2002-07,0.028,
2002-10,0.021,
2003-01,0.027,
2003-04,0.033,
2003-07,0.018,
2003-10,0.023,
2004-01,0.015,
2004-04,0.016,
2004-07,0.014,
2004-10,0.015,
2005-01,0.026,
2005-04,0.022,
2005-07,0.040,
2005-10,0.030,
2006-01,0.010,
2006-04,0.012,
2006-07,0.008,
2006-10,0.019,
2007-01,0.010,
2007-04,0.012,
2007-07,0.011,
2007-10,0.021,
2008-01,0.008,
2008-04,0.009,
2008-07,0.010,
2008-10,0.006,
2009-01,0.007,
2009-04,0.005,
2009-07,0.007,
2009-10,0.016,
2010-01,0.012,
2010-04,0.015,
2010-07,0.019,
2010-10,0.144,
2011-01,0.023,
2011-04,0.017,
2011-07,0.030,
2011-10,0.164,
2012-01,0.051,
2012-04,0.025,
2012-07,0.023,
2012-10,0.203,
2013-01,0.040,
2013-04,0.032,
2013-07,0.029,
2013-10,0.028,
2014-01,0.022,
2014-04,0.021,
2014-07,0.025,
