"",BBK01.OEAC31J,BBK01.OEAC31J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:51,
2002-01,1.408,
2002-04,1.367,
2002-07,1.314,
2002-10,1.236,
2003-01,1.280,
2003-04,1.331,
2003-07,1.353,
2003-10,1.231,
2004-01,1.258,
2004-04,1.272,
2004-07,1.279,
2004-10,1.268,
2005-01,1.242,
2005-04,1.270,
2005-07,1.315,
2005-10,1.362,
2006-01,1.381,
2006-04,1.421,
2006-07,1.587,
2006-10,1.113,
2007-01,1.157,
2007-04,1.216,
2007-07,1.359,
2007-10,1.424,
2008-01,1.474,
2008-04,1.518,
2008-07,1.507,
2008-10,1.424,
2009-01,1.360,
2009-04,1.418,
2009-07,1.450,
2009-10,1.584,
2010-01,1.536,
2010-04,2.248,
2010-07,2.050,
2010-10,2.010,
2011-01,1.926,
2011-04,1.798,
2011-07,1.702,
2011-10,1.709,
2012-01,1.502,
2012-04,1.567,
2012-07,1.641,
2012-10,1.559,
2013-01,1.621,
2013-04,1.642,
2013-07,1.716,
2013-10,1.724,
2014-01,1.600,
2014-04,1.608,
2014-07,1.770,
