"",BBSF2.M.1.T.00000.SON01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.SON01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Other funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:33,
2009-09,8,
2009-10,8,
2009-11,29,
2009-12,49,
2010-01,137,
2010-02,136,
2010-03,150,
2010-04,150,
2010-05,151,
2010-06,156,
2010-07,158,
2010-08,163,
2010-09,166,
2010-10,165,
2010-11,151,
2010-12,45,
2011-01,48,
2011-02,48,
2011-03,48,
2011-04,96,
2011-05,94,
2011-06,115,
2011-07,91,
2011-08,85,
2011-09,95,
2011-10,136,
2011-11,129,
2011-12,140,
2012-01,106,
2012-02,100,
2012-03,92,
2012-04,95,
2012-05,90,
2012-06,97,
2012-07,84,
2012-08,102,
2012-09,64,
2012-10,50,
2012-11,46,
2012-12,40,
2013-01,47,
2013-02,35,
2013-03,46,
2013-04,39,
2013-05,34,
2013-06,48,
2013-07,42,
2013-08,28,
2013-09,25,
2013-10,25,
2013-11,29,
2013-12,19,
2014-01,26,
2014-02,66,
2014-03,75,
2014-04,74,
2014-05,70,
2014-06,69,
2014-07,81,
2014-08,53,
2014-09,27,
2014-10,44,
2014-11,44,
