"",BBFB1.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:13,
1991-01,-1979.520,
1991-02,-1457.328,
1991-03,-2125.733,
1991-04,-1287.272,
1991-05,-1597.723,
1991-06,-2517.335,
1991-07,-2206.309,
1991-08,-2894.574,
1991-09,-3043.955,
1991-10,-2262.450,
1991-11,-1483.538,
1991-12,-1606.220,
1992-01,-2655.754,
1992-02,-1586.473,
1992-03,-2490.414,
1992-04,-1904.362,
1992-05,-2200.370,
1992-06,-3176.571,
1992-07,-3298.011,
1992-08,-3691.169,
1992-09,-3745.339,
1992-10,-3028.860,
1992-11,-1457.313,
1992-12,-2328.456,
1993-01,-2777.718,
1993-02,-1845.359,
1993-03,-2374.697,
1993-04,-2395.576,
1993-05,-2273.560,
1993-06,-3522.347,
1993-07,-3443.277,
1993-08,-3934.725,
1993-09,-3866.386,
1993-10,-3191.217,
1993-11,-1823.072,
1993-12,-2230.530,
1994-01,-2349.842,
1994-02,-2262.668,
1994-03,-3125.039,
1994-04,-2799.991,
1994-05,-2686.804,
1994-06,-3905.498,
1994-07,-4002.560,
1994-08,-4579.533,
1994-09,-4662.979,
1994-10,-3764.596,
1994-11,-2251.216,
1994-12,-2609.630,
1995-01,-3009.705,
1995-02,-2342.497,
1995-03,-3602.937,
1995-04,-2968.897,
1995-05,-2677.140,
1995-06,-4082.512,
1995-07,-3946.270,
1995-08,-4575.914,
1995-09,-4891.664,
1995-10,-3540.034,
1995-11,-2338.973,
1995-12,-2277.916,
1996-01,-3228.963,
1996-02,-2442.213,
1996-03,-3496.419,
1996-04,-2780.346,
1996-05,-3000.900,
1996-06,-4436.635,
1996-07,-4220.171,
1996-08,-4909.983,
1996-09,-5127.969,
1996-10,-3881.396,
1996-11,-2917.157,
1996-12,-2562.967,
1997-01,-3948.135,
1997-02,-2826.252,
1997-03,-3152.243,
1997-04,-3119.582,
1997-05,-3797.509,
1997-06,-3627.545,
1997-07,-3994.670,
1997-08,-5404.918,
1997-09,-4671.674,
1997-10,-4434.573,
1997-11,-2890.227,
1997-12,-2014.651,
1998-01,-3571.318,
1998-02,-2785.847,
1998-03,-2489.532,
1998-04,-3400.545,
1998-05,-3584.382,
1998-06,-3760.119,
1998-07,-4311.207,
1998-08,-5846.380,
1998-09,-4770.171,
1998-10,-5071.398,
1998-11,-3259.822,
1998-12,-2069.839,
1999-01,-4249.602,
1999-02,-3498.718,
1999-03,-3146.304,
1999-04,-3770.298,
1999-05,-3691.269,
1999-06,-4916.227,
1999-07,-5112.699,
1999-08,-5994.566,
1999-09,-5607.310,
1999-10,-5258.068,
1999-11,-4228.697,
1999-12,-3824.272,
2000-01,-4378.652,
2000-02,-3599.956,
2000-03,-3853.512,
2000-04,-4074.865,
2000-05,-4501.306,
2000-06,-4799.437,
2000-07,-5456.781,
2000-08,-7340.585,
2000-09,-6011.650,
2000-10,-6459.351,
2000-11,-4001.559,
2000-12,-3867.893,
2001-01,-6078.552,
2001-02,-4204.214,
2001-03,-4714.573,
2001-04,-5183.297,
2001-05,-4710.429,
2001-06,-5215.906,
2001-07,-6817.977,
2001-08,-7753.839,
2001-09,-6046.988,
2001-10,-4988.547,
2001-11,-3836.718,
2001-12,-3281.896,
2002-01,-3995.773,
2002-02,-3312.127,
2002-03,-4221.006,
2002-04,-2954.571,
2002-05,-4612.177,
2002-06,-3417.904,
2002-07,-4763.959,
2002-08,-5863.981,
2002-09,-4540.591,
2002-10,-3883.408,
2002-11,-2084.348,
2002-12,-1789.762,
2003-01,-4618.380,
2003-02,-3542.336,
2003-03,-3227.307,
2003-04,-3564.017,
