"",BBFN1.M.DE.N.1.L.S1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:43,
1995-01,11.799,
1995-02,11.583,
1995-03,11.964,
1995-04,11.918,
1995-05,11.806,
1995-06,12.239,
1995-07,12.526,
1995-08,12.902,
1995-09,12.705,
1995-10,12.349,
1995-11,12.222,
1995-12,12.299,
1996-01,12.384,
1996-02,12.442,
1996-03,12.557,
1996-04,13.036,
1996-05,13.000,
1996-06,12.708,
1996-07,12.640,
1996-08,12.718,
1996-09,12.159,
1996-10,12.530,
1996-11,12.360,
1996-12,12.192,
1997-01,12.427,
1997-02,12.353,
1997-03,12.821,
1997-04,12.928,
1997-05,13.143,
1997-06,13.459,
1997-07,13.950,
1997-08,13.842,
1997-09,14.260,
1997-10,14.460,
1997-11,14.412,
1997-12,14.181,
1998-01,14.280,
1998-02,14.518,
1998-03,14.307,
1998-04,14.627,
1998-05,14.232,
1998-06,13.432,
1998-07,13.491,
1998-08,13.213,
1998-09,13.180,
1998-10,13.015,
1998-11,13.187,
1998-12,12.674,
1999-01,12.545,
1999-02,12.724,
1999-03,13.098,
1999-04,12.331,
1999-05,12.256,
1999-06,12.535,
1999-07,12.446,
1999-08,12.689,
1999-09,12.590,
1999-10,12.621,
1999-11,13.197,
1999-12,13.299,
2000-01,13.403,
2000-02,13.371,
2000-03,13.900,
2000-04,13.870,
2000-05,13.928,
2000-06,13.975,
2000-07,13.858,
2000-08,13.734,
2000-09,14.226,
2000-10,14.709,
2000-11,14.987,
2000-12,15.377,
2001-01,14.433,
2001-02,14.506,
2001-03,15.026,
2001-04,15.164,
2001-05,14.821,
2001-06,15.226,
2001-07,14.025,
2001-08,14.528,
2001-09,15.271,
2001-10,15.105,
2001-11,15.274,
2001-12,15.287,
2002-01,14.577,
2002-02,14.312,
2002-03,14.683,
2002-04,13.654,
2002-05,14.594,
2002-06,15.095,
2002-07,14.992,
2002-08,14.943,
2002-09,15.517,
2002-10,15.779,
2002-11,16.015,
2002-12,15.879,
2003-01,16.185,
2003-02,14.965,
2003-03,15.547,
2003-04,15.790,
2003-05,15.891,
2003-06,16.163,
2003-07,15.849,
2003-08,16.247,
2003-09,16.759,
2003-10,16.928,
2003-11,17.163,
2003-12,17.734,
2004-01,17.405,
2004-02,17.453,
2004-03,18.150,
2004-04,18.291,
2004-05,18.496,
2004-06,18.681,
2004-07,18.697,
2004-08,19.117,
2004-09,18.618,
2004-10,18.975,
2004-11,20.300,
2004-12,20.409,
2005-01,19.811,
2005-02,19.830,
2005-03,20.947,
2005-04,20.804,
2005-05,20.916,
2005-06,21.121,
2005-07,21.048,
2005-08,20.928,
2005-09,21.583,
2005-10,22.463,
2005-11,22.648,
2005-12,23.103,
2006-01,22.750,
2006-02,23.286,
2006-03,23.933,
2006-04,23.616,
2006-05,24.185,
2006-06,24.780,
2006-07,24.917,
2006-08,25.662,
2006-09,26.547,
2006-10,27.164,
2006-11,27.059,
2006-12,27.659,
2007-01,27.337,
2007-02,27.475,
2007-03,28.615,
2007-04,29.130,
2007-05,28.999,
2007-06,30.136,
2007-07,30.140,
2007-08,31.206,
2007-09,31.470,
2007-10,32.094,
2007-11,32.788,
2007-12,32.341,
2008-01,31.594,
2008-02,31.397,
2008-03,32.436,
2008-04,31.881,
2008-05,31.615,
2008-06,32.257,
2008-07,32.748,
2008-08,32.796,
2008-09,33.248,
2008-10,33.479,
2008-11,33.066,
2008-12,31.720,
2009-01,31.712,
2009-02,31.334,
2009-03,31.228,
2009-04,30.730,
2009-05,30.597,
2009-06,30.326,
2009-07,30.537,
2009-08,30.476,
2009-09,29.405,
2009-10,29.912,
2009-11,30.161,
2009-12,30.345,
2010-01,30.082,
2010-02,29.933,
2010-03,30.614,
2010-04,30.901,
2010-05,31.846,
2010-06,32.380,
2010-07,32.164,
2010-08,32.599,
2010-09,32.966,
2010-10,33.995,
2010-11,33.403,
2010-12,33.972,
2011-01,33.280,
2011-02,33.308,
2011-03,33.781,
2011-04,33.654,
2011-05,33.979,
2011-06,33.893,
2011-07,34.159,
2011-08,34.412,
2011-09,35.253,
2011-10,35.109,
2011-11,35.056,
2011-12,35.686,
2012-01,35.077,
2012-02,35.120,
2012-03,34.717,
2012-04,34.905,
2012-05,35.036,
2012-06,35.084,
2012-07,34.914,
2012-08,35.197,
2012-09,36.532,
2012-10,36.231,
2012-11,37.751,
2012-12,36.776,
2013-01,36.173,
2013-02,36.190,
2013-03,36.699,
2013-04,36.219,
2013-05,36.293,
2013-06,36.911,
2013-07,34.404,
2013-08,34.913,
2013-09,36.850,
2013-10,37.021,
2013-11,36.559,
2013-12,36.254,
2014-01,34.988,
2014-02,35.154,
2014-03,34.985,
2014-04,35.056,
2014-05,35.932,
2014-06,36.637,
2014-07,36.259,
2014-08,36.677,
2014-09,36.815,
2014-10,36.731,
2014-11,36.544,
2014-12,36.883,
