"",BBK01.OELB20O,BBK01.OELB20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:36,
2002-01,12.325,
2002-04,12.448,
2002-07,12.571,
2002-10,12.634,
2003-01,12.684,
2003-04,12.797,
2003-07,12.952,
2003-10,13.178,
2004-01,13.274,
2004-04,13.404,
2004-07,13.592,
2004-10,13.763,
2005-01,13.733,
2005-04,13.825,
2005-07,13.979,
2005-10,14.107,
2006-01,14.185,
2006-04,14.298,
2006-07,14.421,
2006-10,14.409,
2007-01,14.417,
2007-04,14.456,
2007-07,14.578,
2007-10,14.273,
2008-01,14.246,
2008-04,14.355,
2008-07,14.453,
2008-10,14.485,
2009-01,14.443,
2009-04,14.444,
2009-07,14.572,
2009-10,14.635,
2010-01,14.571,
2010-04,14.682,
2010-07,14.816,
2010-10,14.934,
2011-01,15.027,
2011-04,15.211,
2011-07,15.445,
2011-10,15.622,
2012-01,15.722,
2012-04,15.952,
2012-07,16.127,
2012-10,16.265,
2013-01,16.339,
2013-04,16.510,
2013-07,16.772,
2013-10,16.915,
2014-01,17.213,
2014-04,17.368,
2014-07,17.583,
